Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
ARI,SP,Brandon Pfaadt,25,5,6,.455,3.92,21,21,0,0,0,0,126.1,113,59,55,15,27,1,115,2,0,1,513,104,3.56,1.108,8.1,1.1,1.9,8.2,4.26,ARI
ARI,SP,Ryne Nelson,26,7,6,.538,4.85,19,17,0,0,0,0,98.1,115,55,53,10,24,2,70,4,0,4,427,84,3.90,1.414,10.5,0.9,2.2,6.4,2.92,ARI
ARI,SP,Zac Gallen,28,8,5,.615,3.70,17,17,0,0,0,0,87.2,80,38,36,8,30,0,86,2,0,4,366,110,3.47,1.255,8.2,0.8,3.1,8.8,2.87,ARI
ARI,SP,Jordan Montgomery*,31,7,5,.583,6.11,14,14,0,0,0,0,70.2,90,50,48,8,24,0,47,0,0,4,316,67,4.31,1.613,11.5,1.0,3.1,6.0,1.96,ARI
ARI,SP,Slade Cecconi ,25,2,6,.250,6.14,14,13,0,0,0,0,66.0,73,45,45,12,14,0,53,3,0,1,282,66,4.68,1.318,10.0,1.6,1.9,7.2,3.79,ARI
ARI,SP,Tommy Henry* ,26,2,3,.400,7.04,9,7,1,0,0,0,38.1,49,31,30,9,18,0,30,4,0,0,182,58,6.36,1.748,11.5,2.1,4.2,7.0,1.67,ARI
ARI,CL,Paul Sewald,34,0,2,.000,3.55,28,0,26,0,0,16,25.1,20,10,10,4,4,1,25,2,0,0,101,116,3.94,0.947,7.1,1.4,1.4,8.9,6.25,ARI
ARI,RP,Bryce Jarvis,26,1,2,.333,3.28,42,0,16,0,0,0,57.2,49,25,21,6,32,4,36,5,0,4,249,124,5.18,1.405,7.6,0.9,5.0,5.6,1.13,ARI
ARI,RP,Kevin Ginkel,30,6,2,.750,2.58,45,0,12,0,0,5,45.1,43,18,13,3,7,0,45,2,0,3,185,158,2.62,1.103,8.5,0.6,1.4,8.9,6.43,ARI
ARI,RP,Ryan Thompson,32,5,3,.625,1.88,41,0,1,0,0,0,43.0,35,9,9,4,7,0,30,1,0,2,167,217,3.52,0.977,7.3,0.8,1.5,6.3,4.29,ARI
ARI,RP,Joe Mantiply*,33,4,2,.667,3.99,47,2,5,0,0,1,38.1,36,18,17,0,11,4,31,0,1,1,159,102,2.39,1.226,8.5,0.0,2.6,7.3,2.82,ARI
