Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
ATL,C,Travis d'Arnaud,35,69,224,202,26,52,14,0,9,33,1,0,15,49,.257,.317,.460,.777,114,93,5,4,0,3,0,ATL
ATL,1B,Matt Olson*,30,103,431,384,43,87,21,1,14,45,0,0,37,118,.227,.304,.396,.700,94,152,7,7,0,3,2,ATL
ATL,2B,Ozzie Albies# ,27,90,394,361,47,93,28,1,8,46,8,1,24,61,.258,.310,.407,.717,99,147,4,5,0,4,0,ATL
ATL,SS,Orlando Arcia,29,98,369,343,28,75,18,0,7,28,0,0,17,80,.219,.255,.332,.588,63,114,11,2,1,6,1,ATL
ATL,3B,Austin Riley,27,89,376,339,49,85,22,2,13,40,0,0,32,95,.251,.319,.442,.762,110,150,3,3,0,2,0,ATL
ATL,LF,Jarred Kelenic*,24,90,333,307,34,73,13,2,11,32,6,2,22,98,.238,.289,.401,.690,91,123,3,1,1,2,0,ATL
ATL,CF,Michael Harris II* ,23,67,278,260,30,65,9,2,5,20,8,4,15,59,.250,.295,.358,.653,82,93,4,2,0,1,1,ATL
ATL,RF,Ronald Acuña Jr. ,26,49,222,192,38,48,8,1,4,15,16,3,27,53,.250,.351,.365,.716,101,70,4,3,0,0,0,ATL
ATL,DH,Marcell Ozuna,33,103,434,381,64,117,20,0,30,82,0,0,47,104,.307,.385,.596,.981,169,227,12,3,0,3,1,ATL
ATL,OF,Adam Duvall,35,83,287,264,26,51,10,0,10,29,0,0,19,81,.193,.254,.345,.599,66,91,4,3,0,1,0,ATL
ATL,C,Sean Murphy,29,37,135,120,9,25,3,0,5,12,0,0,13,32,.208,.296,.358,.655,82,43,4,2,0,0,1,ATL
ATL,IF,Zack Short,29,30,69,54,9,8,3,0,0,5,2,0,12,16,.148,.313,.204,.517,49,11,0,1,2,0,0,ATL
ATL,LF,Eddie Rosario*,32,15,58,53,7,9,1,0,3,6,0,0,2,16,.170,.193,.358,.551,50,19,0,0,1,2,0,ATL
ATL,C,Chadwick Tromp ,29,19,54,52,3,13,6,0,0,6,0,0,1,17,.250,.259,.365,.625,72,19,2,0,0,1,0,ATL
ATL,RF,Ramón Laureano,29,15,45,45,7,11,5,0,1,4,1,1,0,17,.244,.244,.422,.667,82,19,0,0,0,0,0,ATL
ATL,LF,Forrest Wall*,28,13,32,29,3,7,0,0,0,1,3,3,3,6,.241,.313,.241,.554,58,7,0,0,0,0,0,ATL
ATL,IF,Nacho Alvarez Jr.,21,5,21,19,0,1,0,0,0,0,0,0,0,8,.053,.143,.053,.195,-42,1,0,2,0,0,0,ATL
ATL,MI,Luis Guillorme*,29,9,21,20,2,3,2,0,0,3,0,0,1,5,.150,.190,.250,.440,22,5,1,0,0,0,0,ATL
ATL,LF,Eli White ,30,9,13,13,2,3,0,1,1,2,0,0,0,4,.231,.231,.615,.846,126,8,0,0,0,0,0,ATL
ATL,UT,Luke Williams,27,12,12,10,3,1,0,0,0,0,0,0,1,3,.100,.250,.100,.350,3,1,1,1,0,0,0,ATL
ATL,OF,J.P. Martínez*,28,7,10,10,2,2,1,0,0,0,1,0,0,4,.200,.200,.300,.500,37,3,0,0,0,0,0,ATL
ATL,2B,David Fletcher,30,5,9,8,0,2,0,0,0,2,0,0,0,1,.250,.222,.250,.472,32,2,0,0,0,1,0,ATL
ATL,UT,Brian Anderson,31,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,0,0,ATL
