Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
ATL,SP,Chris Sale*,35,13,3,.813,2.68,19,19,0,0,0,0,117.1,83,35,35,8,25,0,149,6,1,3,456,154,2.29,0.920,6.4,0.6,1.9,11.4,5.96,ATL
ATL,SP,Max Fried* ,30,7,5,.583,3.08,18,18,0,2,1,0,108.0,91,40,37,9,34,0,95,4,0,3,441,134,3.53,1.157,7.6,0.8,2.8,7.9,2.79,ATL
ATL,SP,Charlie Morton,40,5,6,.455,4.16,19,19,0,0,0,0,106.0,93,56,49,14,40,1,103,13,0,1,444,100,4.42,1.255,7.9,1.2,3.4,8.7,2.58,ATL
ATL,SP,Reynaldo López,30,7,4,.636,2.12,18,18,0,0,0,0,101.2,85,26,24,7,36,0,100,1,1,2,414,195,3.17,1.190,7.5,0.6,3.2,8.9,2.78,ATL
ATL,SP,Spencer Schwellenbach,24,4,5,.444,4.06,10,10,0,0,0,0,57.2,51,26,26,7,10,1,60,4,0,2,235,102,3.37,1.058,8.0,1.1,1.6,9.4,6.00,ATL
ATL,SP,Bryce Elder ,25,1,4,.200,6.35,8,8,0,0,0,0,39.2,51,29,28,6,14,0,33,2,0,2,180,66,4.66,1.639,11.6,1.4,3.2,7.5,2.36,ATL
ATL,CL,Raisel Iglesias,34,1,1,.500,1.86,39,0,30,0,0,22,38.2,23,11,8,2,8,1,36,2,0,1,148,224,2.73,0.802,5.4,0.5,1.9,8.4,4.50,ATL
ATL,RP,Jesse Chavez,40,1,1,.500,1.79,33,0,13,0,0,0,45.1,37,13,9,7,13,1,39,1,1,0,182,233,4.36,1.103,7.3,1.4,2.6,7.7,3.00,ATL
ATL,RP,Joe Jiménez,29,1,3,.250,2.41,41,0,4,0,0,2,41.0,24,11,11,1,15,1,41,2,0,0,164,173,2.71,0.951,5.3,0.2,3.3,9.0,2.73,ATL
ATL,RP,Aaron Bummer*,30,2,2,.500,3.13,36,0,10,0,0,0,37.1,42,14,13,1,11,1,46,2,0,1,162,133,2.08,1.420,10.1,0.2,2.7,11.1,4.18,ATL
ATL,RP,Pierce Johnson,33,3,2,.600,2.97,34,0,8,0,0,1,33.1,28,12,11,2,14,1,44,2,0,1,140,141,2.73,1.260,7.6,0.5,3.8,11.9,3.14,ATL
