Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
BAL,C,Adley Rutschman#,26,97,436,391,52,104,13,0,17,61,1,0,40,73,.266,.333,.430,.762,120,168,6,1,0,4,2,BAL
BAL,1B,Ryan Mountcastle,27,94,388,361,45,97,23,1,12,46,3,0,21,84,.269,.307,.438,.744,113,158,12,1,0,5,0,BAL
BAL,2B,Jorge Mateo ,29,68,208,192,30,44,14,2,5,18,13,2,10,48,.229,.267,.401,.668,91,77,3,1,2,3,0,BAL
BAL,SS,Gunnar Henderson*,23,103,469,409,81,116,20,5,28,63,14,2,52,109,.284,.371,.562,.933,166,230,1,6,0,2,1,BAL
BAL,3B,Jordan Westburg,25,96,399,371,51,99,22,5,17,54,6,3,20,87,.267,.314,.491,.805,129,182,4,6,1,1,0,BAL
BAL,LF,Colton Cowser*,24,96,323,284,39,67,15,1,14,43,7,2,31,94,.236,.322,.444,.766,120,126,7,6,0,2,2,BAL
BAL,CF,Cedric Mullins*,29,95,311,290,42,63,11,3,11,36,17,5,16,73,.217,.261,.390,.651,86,113,1,2,0,2,0,BAL
BAL,RF,Anthony Santander#,29,99,419,380,57,92,16,2,29,68,1,0,29,78,.242,.305,.524,.829,135,199,3,7,0,3,0,BAL
BAL,DH,Ryan O'Hearn*,30,86,316,284,42,78,12,2,12,39,3,0,29,37,.275,.345,.458,.803,131,130,4,2,0,1,2,BAL
BAL,3B,Ramón Urías,30,61,177,161,19,38,7,1,4,14,0,0,13,30,.236,.305,.366,.672,95,59,0,3,0,0,0,BAL
BAL,LF,Austin Hays,28,63,175,157,18,40,13,0,3,14,0,1,9,40,.255,.316,.395,.711,105,62,1,6,1,2,1,BAL
BAL,C,James McCann,34,42,146,137,17,29,6,0,3,14,1,0,7,33,.212,.253,.321,.575,66,44,3,1,0,1,0,BAL
BAL,OF,Heston Kjerstad*,25,26,76,64,6,18,2,0,3,12,1,0,9,21,.281,.395,.453,.848,146,29,0,3,0,0,2,BAL
BAL,OF,Kyle Stowers* ,26,19,37,36,3,11,4,0,1,9,0,1,0,13,.306,.297,.500,.797,126,18,0,0,0,1,0,BAL
BAL,2B,Jackson Holliday* ,20,10,36,34,5,2,0,0,0,1,0,0,2,18,.059,.111,.059,.170,-48,2,0,0,0,0,0,BAL
BAL,2B,Connor Norby,24,7,25,25,3,5,0,0,2,3,0,0,0,7,.200,.200,.440,.640,79,11,1,0,0,0,0,BAL
BAL,UT,Tony Kemp*,32,5,10,9,1,0,0,0,0,0,0,0,1,1,.000,.100,.000,.100,-67,0,0,0,0,0,0,BAL
BAL,OF,Ryan McKenna,27,9,9,8,3,3,0,0,2,2,0,1,1,1,.375,.444,1.125,1.569,335,9,0,0,0,0,0,BAL
BAL, ,David Bañuelos,27,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,BAL
