Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
BAL,SP,Corbin Burnes,29,10,4,.714,2.45,21,21,0,0,0,0,132.0,107,41,36,15,30,0,121,0,2,5,525,154,3.47,1.038,7.3,1.0,2.0,8.3,4.03,BAL
BAL,SP,Grayson Rodriguez,24,12,4,.750,3.82,19,19,0,0,0,0,110.2,103,48,47,14,33,0,122,5,0,5,463,99,3.62,1.229,8.4,1.1,2.7,9.9,3.70,BAL
BAL,SP,Cole Irvin*,30,6,5,.545,4.91,20,14,1,0,0,0,91.2,108,58,50,13,21,1,61,4,0,1,402,77,4.48,1.407,10.6,1.3,2.1,6.0,2.90,BAL
BAL,SP,Dean Kremer,28,4,7,.364,4.20,14,14,0,0,0,0,75.0,63,46,35,14,29,0,73,2,0,0,322,90,4.87,1.227,7.6,1.7,3.5,8.8,2.52,BAL
BAL,SP,Albert Suárez,34,5,4,.556,3.48,20,13,1,0,0,0,72.1,70,29,28,5,26,1,58,3,1,1,312,108,3.64,1.327,8.7,0.6,3.2,7.2,2.23,BAL
BAL,SP,Kyle Bradish ,27,2,0,1.000,2.75,8,8,0,0,0,0,39.1,27,12,12,2,15,0,53,3,0,2,163,138,2.49,1.068,6.2,0.5,3.4,12.1,3.53,BAL
BAL,CL,Craig Kimbrel,36,6,3,.667,3.32,42,0,31,0,0,23,38.0,23,18,14,4,19,0,56,4,1,0,158,115,3.38,1.105,5.4,0.9,4.5,13.3,2.95,BAL
BAL,RP,Keegan Akin*,29,2,0,1.000,3.29,45,0,15,0,0,0,54.2,38,20,20,6,16,1,65,2,0,2,219,115,3.18,0.988,6.3,1.0,2.6,10.7,4.06,BAL
BAL,RP,Jacob Webb,30,1,5,.167,2.60,49,0,6,0,0,2,45.0,29,17,13,2,22,1,46,0,0,0,186,146,3.15,1.133,5.8,0.4,4.4,9.2,2.09,BAL
BAL,RP,Yennier Cano,30,4,2,.667,2.72,46,0,6,0,0,3,39.2,33,14,12,5,19,1,40,1,0,0,164,139,4.28,1.311,7.5,1.1,4.3,9.1,2.11,BAL
BAL,RP,Cionel Pérez*,28,1,0,1.000,4.40,34,0,7,0,0,2,30.2,26,16,15,0,15,0,29,3,0,4,134,86,3.02,1.337,7.6,0.0,4.4,8.5,1.93,BAL
