Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
BOS,C,Connor Wong,28,78,303,272,34,81,9,1,9,34,5,4,20,65,.298,.363,.438,.801,120,119,0,9,0,2,0,BOS
BOS,1B,Dominic Smith*,29,68,228,201,22,46,13,0,5,30,1,1,24,49,.229,.320,.368,.688,90,74,6,3,0,0,0,BOS
BOS,2B,Enmanuel Valdez* ,25,56,182,164,20,37,11,0,6,26,1,1,14,43,.226,.282,.402,.684,86,66,3,0,1,3,0,BOS
BOS,SS,Ceddanne Rafaela,23,101,383,363,50,91,16,4,12,55,15,6,12,100,.251,.278,.416,.694,89,151,5,3,2,3,1,BOS
BOS,3B,Rafael Devers*,27,91,397,343,66,101,22,4,23,64,2,0,47,95,.294,.378,.583,.961,160,200,10,2,0,5,9,BOS
BOS,LF,Tyler O'Neill,29,75,321,280,56,77,15,0,22,43,3,0,36,104,.275,.361,.564,.926,151,158,9,3,0,2,5,BOS
BOS,CF,Jarren Duran*,27,103,480,434,74,127,31,12,13,52,22,4,38,105,.293,.353,.509,.862,135,221,2,4,1,3,0,BOS
BOS,RF,Wilyer Abreu*,25,78,269,241,39,64,22,2,9,33,7,2,24,75,.266,.331,.485,.816,122,117,4,1,0,3,0,BOS
BOS,DH,Masataka Yoshida*,30,56,221,196,22,53,8,0,4,29,0,0,16,32,.270,.348,.372,.721,100,73,2,8,0,1,0,BOS
BOS,MI,David Hamilton*,26,74,235,218,36,57,13,1,5,18,26,4,16,60,.261,.315,.399,.714,96,87,1,1,0,0,0,BOS
BOS,OF,Rob Refsnyder,33,60,209,180,22,56,14,1,4,25,1,2,22,50,.311,.399,.467,.866,139,84,4,5,0,1,1,BOS
BOS,C,Reese McGuire*,29,52,158,139,10,29,3,0,3,18,3,0,13,39,.209,.280,.295,.575,60,41,4,2,1,3,0,BOS
BOS,UT,Romy Gonzalez,27,43,103,95,10,27,7,1,1,10,7,2,6,23,.284,.330,.411,.741,103,39,3,1,0,1,0,BOS
BOS,CI,Bobby Dalbec ,29,37,93,83,6,11,2,0,1,8,3,0,8,43,.133,.217,.193,.410,15,16,1,1,1,0,0,BOS
BOS,1B,Triston Casas* ,24,22,90,78,12,19,3,0,6,10,0,1,12,26,.244,.344,.513,.857,133,40,2,0,0,0,2,BOS
BOS,2B,Vaughn Grissom ,23,23,87,81,6,12,1,0,0,3,0,0,5,19,.148,.207,.160,.367,4,13,2,1,0,0,0,BOS
BOS,DH,Garrett Cooper,33,24,75,70,3,12,4,0,0,5,0,0,3,22,.171,.227,.229,.455,27,16,2,2,0,0,0,BOS
BOS,IF,Pablo Reyes,30,21,64,60,4,11,2,0,0,5,1,2,3,19,.183,.234,.217,.451,26,13,1,1,0,0,0,BOS
BOS,2B,Jamie Westbrook,29,19,45,37,4,6,2,0,2,7,0,0,4,12,.162,.250,.378,.628,70,14,0,1,0,2,0,BOS
BOS,SS,Trevor Story ,31,8,34,31,1,7,3,0,0,4,1,1,3,9,.226,.294,.323,.617,71,10,0,0,0,0,1,BOS
BOS,IF,Zack Short,29,2,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,BOS
BOS,DH,Tyler Heineman# ,33,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,4,0,0,1,0,0,0,BOS
