Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
BOS,SP,Tanner Houck,28,8,6,.571,2.71,20,20,0,1,1,0,123.0,105,48,37,6,29,0,114,8,0,2,507,160,2.83,1.089,7.7,0.4,2.1,8.3,3.93,BOS
BOS,SP,Kutter Crawford,28,6,8,.429,3.60,21,21,0,0,0,0,122.1,103,57,49,22,29,0,117,6,0,1,500,120,4.43,1.079,7.6,1.6,2.1,8.6,4.03,BOS
BOS,SP,Brayan Bello,25,10,5,.667,5.27,19,19,0,0,0,0,100.2,109,62,59,16,36,0,96,6,1,6,442,82,4.56,1.440,9.7,1.4,3.2,8.6,2.67,BOS
BOS,SP,Nick Pivetta,31,4,7,.364,4.50,16,16,0,0,0,0,84.0,78,43,42,15,21,1,102,0,0,2,346,96,3.79,1.179,8.4,1.6,2.3,10.9,4.86,BOS
BOS,SP,Cooper Criswell,27,4,4,.500,4.02,14,13,0,0,0,0,65.0,64,35,29,7,16,0,54,4,0,1,272,108,3.81,1.231,8.9,1.0,2.2,7.5,3.38,BOS
BOS,CL,Kenley Jansen,36,3,1,.750,3.13,36,0,27,0,0,20,37.1,32,13,13,2,14,2,43,1,2,2,155,139,2.75,1.232,7.7,0.5,3.4,10.4,3.07,BOS
BOS,RP,Greg Weissert,29,2,2,.500,4.20,44,0,10,0,0,1,45.0,48,29,21,7,15,4,45,0,0,1,190,104,4.17,1.400,9.6,1.4,3.0,9.0,3.00,BOS
BOS,RP,Justin Slaten ,26,5,2,.714,3.38,31,0,7,0,0,1,42.2,35,18,16,2,9,0,45,2,0,4,172,129,2.42,1.031,7.4,0.4,1.9,9.5,5.00,BOS
BOS,RP,Brennan Bernardino*,32,3,3,.500,3.03,38,2,2,0,0,0,35.2,33,13,12,1,16,4,34,3,0,4,154,144,3.20,1.374,8.3,0.3,4.0,8.6,2.13,BOS
BOS,RP,Cam Booser*,32,1,2,.333,2.57,33,0,5,0,0,1,35.0,31,11,10,3,8,1,37,0,0,0,143,170,2.83,1.114,8.0,0.8,2.1,9.5,4.63,BOS
