Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
CHC,C,Miguel Amaya,25,74,223,199,14,43,5,1,3,18,0,0,16,44,.216,.282,.296,.578,64,59,3,3,3,2,0,CHC
CHC,1B,Michael Busch*,26,99,369,321,48,83,21,1,12,38,2,1,43,116,.259,.347,.442,.789,121,142,5,2,0,3,1,CHC
CHC,2B,Nico Hoerner,27,97,418,371,50,93,20,1,4,31,14,2,33,45,.251,.328,.342,.670,90,127,6,11,0,3,1,CHC
CHC,SS,Dansby Swanson,30,95,368,333,39,73,13,1,9,31,7,3,32,98,.219,.291,.345,.636,79,115,5,2,0,1,2,CHC
CHC,3B,Christopher Morel,25,102,420,361,43,72,7,1,18,51,7,5,47,103,.199,.302,.374,.676,90,135,11,8,0,4,2,CHC
CHC,LF,Ian Happ#,29,100,414,354,54,82,23,1,16,60,7,2,53,111,.232,.338,.438,.776,117,155,6,5,0,2,1,CHC
CHC,CF,Pete Crow-Armstrong*,22,67,197,180,12,33,5,4,3,17,18,0,9,51,.183,.233,.306,.539,51,55,1,3,4,1,0,CHC
CHC,RF,Seiya Suzuki,29,80,348,310,43,84,16,3,15,49,10,3,30,95,.271,.342,.487,.829,131,151,2,5,0,3,1,CHC
CHC,DH,Mike Tauchman*,33,74,285,247,42,61,10,1,5,19,5,1,34,53,.247,.344,.356,.700,98,88,4,3,0,1,0,CHC
CHC,CF,Cody Bellinger* ,28,79,344,312,39,84,15,1,9,37,5,2,27,59,.269,.331,.410,.742,108,128,7,3,0,2,4,CHC
CHC,UT,Patrick Wisdom,32,45,108,95,11,20,4,1,5,17,5,0,8,34,.211,.290,.432,.721,100,41,0,3,1,1,0,CHC
CHC,UT,Miles Mastrobuoni*,28,43,98,90,9,18,3,0,0,3,2,0,7,14,.200,.255,.233,.488,39,21,1,0,0,1,0,CHC
CHC,C,Yan Gomes,36,34,96,91,7,14,2,0,2,7,0,0,2,36,.154,.179,.242,.421,17,22,2,1,1,1,0,CHC
CHC,IF,Nick Madrigal ,27,51,94,86,5,19,3,0,0,10,1,0,4,10,.221,.280,.256,.535,53,22,2,3,1,0,0,CHC
CHC,C,Tomás Nido ,30,17,50,47,5,6,2,0,1,4,0,0,1,15,.128,.143,.234,.377,4,11,1,0,1,1,0,CHC
CHC,UT,Garrett Cooper,33,12,41,37,3,10,1,1,1,6,0,0,4,13,.270,.341,.432,.774,117,16,1,0,0,0,0,CHC
CHC,IF,David Bote,31,30,39,38,3,13,3,0,0,5,0,0,1,10,.342,.359,.421,.780,119,16,1,0,0,0,0,CHC
CHC,DH,Matt Mervis* ,26,9,28,26,1,3,1,0,0,3,0,0,1,8,.115,.148,.154,.302,-14,4,0,0,0,0,0,CHC
CHC,OF,Alexander Canario ,24,15,28,25,4,7,1,0,1,2,1,0,2,11,.280,.357,.440,.797,124,11,0,1,0,0,0,CHC
CHC,SS,Luis Vázquez ,24,2,1,1,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,CHC
