Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
CHC,SP,Shota Imanaga*,30,8,2,.800,2.95,19,19,0,0,0,0,109.2,100,42,36,14,17,0,111,3,0,2,445,140,3.33,1.067,8.2,1.1,1.4,9.1,6.53,CHC
CHC,SP,Jameson Taillon,32,7,5,.583,2.96,17,17,0,0,0,0,100.1,94,40,33,12,21,0,78,0,0,3,409,140,3.77,1.146,8.4,1.1,1.9,7.0,3.71,CHC
CHC,SP,Justin Steele*,28,2,4,.333,3.08,16,16,0,1,0,0,96.1,79,40,33,8,23,0,91,4,0,1,394,134,3.18,1.059,7.4,0.7,2.1,8.5,3.96,CHC
CHC,SP,Javier Assad,26,4,3,.571,3.15,18,18,0,0,0,0,88.2,81,33,31,12,41,0,81,4,0,2,386,132,4.60,1.376,8.2,1.2,4.2,8.2,1.98,CHC
CHC,SP,Kyle Hendricks,34,2,9,.182,6.95,19,14,4,0,0,0,80.1,96,63,62,16,24,0,56,3,0,0,352,60,5.35,1.494,10.8,1.8,2.7,6.3,2.33,CHC
CHC,SP,Ben Brown ,24,1,3,.250,3.58,15,8,0,0,0,0,55.1,41,22,22,5,19,0,64,1,0,2,222,116,3.09,1.084,6.7,0.8,3.1,10.4,3.37,CHC
CHC,CL,Héctor Neris,35,8,3,.727,3.68,39,0,27,0,0,14,36.2,32,16,15,4,24,2,38,1,2,1,162,113,4.54,1.527,7.9,1.0,5.9,9.3,1.58,CHC
CHC,RP,Hayden Wesneski ,26,3,6,.333,3.94,25,7,2,0,0,0,61.2,53,35,27,11,21,0,58,2,1,1,263,105,4.70,1.200,7.7,1.6,3.1,8.5,2.76,CHC
CHC,RP,Drew Smyly*,35,3,5,.375,2.79,27,0,6,0,0,0,38.2,33,14,12,5,16,2,33,2,0,4,163,149,4.52,1.267,7.7,1.2,3.7,7.7,2.06,CHC
CHC,RP,Mark Leiter Jr.,33,2,4,.333,4.37,38,0,3,0,0,0,35.0,27,20,17,2,13,0,51,1,0,1,148,95,2.18,1.143,6.9,0.5,3.3,13.1,3.92,CHC
CHC,RP,Luke Little* ,23,3,1,.750,3.46,30,1,7,0,0,0,26.0,15,11,10,1,18,1,28,4,0,3,109,121,4.03,1.269,5.2,0.3,6.2,9.7,1.56,CHC
