Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
CHW,C,Korey Lee,25,83,258,247,25,53,10,0,9,26,5,2,11,78,.215,.248,.364,.612,71,90,5,0,0,0,0,CHW
CHW,1B,Andrew Vaughn,26,98,404,372,36,87,20,0,11,45,1,0,24,93,.234,.287,.376,.663,87,140,11,5,0,3,0,CHW
CHW,2B,Nicky Lopez*,29,87,307,275,24,65,10,1,0,15,5,6,23,47,.236,.302,.280,.582,68,77,2,3,6,0,0,CHW
CHW,SS,Paul DeJong,30,100,355,330,38,75,14,0,17,38,2,1,14,112,.227,.273,.424,.697,94,140,8,8,0,3,0,CHW
CHW,3B,Lenyn Sosa ,24,52,187,177,13,42,8,0,4,15,3,0,7,43,.237,.274,.350,.624,76,62,3,2,1,0,1,CHW
CHW,LF,Andrew Benintendi*,29,84,318,294,23,58,8,0,8,28,2,2,21,58,.197,.252,.306,.558,58,90,9,1,0,2,1,CHW
CHW,CF,Luis Robert Jr.,26,52,216,196,25,42,10,0,12,24,13,0,20,79,.214,.287,.449,.736,105,88,5,0,0,0,2,CHW
CHW,RF,Gavin Sheets*,28,93,336,296,25,66,19,1,7,30,1,1,35,70,.223,.310,.365,.674,91,108,3,3,0,2,1,CHW
CHW,DH,Eloy Jiménez,27,63,241,221,17,52,8,0,5,16,3,0,18,47,.235,.295,.339,.634,80,75,11,1,0,1,1,CHW
CHW,OF,Tommy Pham,36,69,293,267,33,71,14,1,5,18,6,3,25,61,.266,.331,.382,.713,103,102,2,1,0,0,0,CHW
CHW,C,Martín Maldonado,37,48,147,135,9,16,3,0,4,11,0,0,8,51,.119,.174,.230,.403,14,31,5,1,3,0,0,CHW
CHW,3B,Danny Mendick,30,47,141,132,13,26,7,0,3,8,6,0,6,35,.197,.243,.318,.561,58,42,3,2,1,0,0,CHW
CHW,OF,Corey Julks,28,44,123,111,11,26,7,0,3,8,3,1,12,31,.234,.309,.378,.687,94,42,5,0,0,0,0,CHW
CHW,OF,Robbie Grossman#,34,25,85,71,6,15,4,0,0,4,2,0,13,20,.211,.329,.268,.597,73,19,2,0,0,1,0,CHW
CHW,CF,Dominic Fletcher* ,26,28,84,75,4,13,4,0,0,6,0,0,6,26,.173,.253,.227,.480,38,17,1,2,1,0,0,CHW
CHW,IF,Braden Shewmake* ,26,29,67,64,4,8,2,0,1,4,5,1,1,10,.125,.134,.203,.337,-6,13,0,0,0,2,0,CHW
CHW,3B,Bryan Ramos ,22,15,48,46,4,9,2,0,0,2,0,0,1,8,.196,.208,.239,.447,27,11,3,0,0,1,0,CHW
CHW,3B,Yoán Moncada# ,29,11,44,39,4,11,3,1,0,0,1,0,5,10,.282,.364,.410,.774,120,16,2,0,0,0,0,CHW
CHW,UT,Zach Remillard ,30,15,39,33,3,8,1,1,0,1,1,0,5,10,.242,.342,.333,.675,94,11,1,0,1,0,0,CHW
CHW,OF,Oscar Colás* ,25,13,38,33,1,9,0,0,0,4,0,1,4,10,.273,.368,.273,.641,87,9,0,1,0,0,0,CHW
CHW,OF,Kevin Pillar,35,17,32,25,1,4,2,0,1,4,2,0,4,8,.160,.290,.360,.650,84,9,0,1,1,1,0,CHW
CHW,2B,Brooks Baldwin#,23,9,31,29,2,6,3,0,0,1,2,0,2,10,.207,.258,.310,.568,61,9,1,0,0,0,0,CHW
CHW,OF,Zach DeLoach* ,25,9,25,22,1,3,1,0,0,1,0,0,3,9,.136,.240,.182,.422,23,4,0,0,0,0,0,CHW
CHW,CF,Rafael Ortega*,33,14,17,14,4,1,0,0,0,1,2,0,2,4,.071,.176,.071,.248,-25,1,1,0,0,1,0,CHW
CHW,3B,Nick Senzel,29,5,13,13,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,CHW
CHW,C,Chuckie Robinson,29,4,8,8,0,1,0,0,0,0,0,0,0,1,.125,.125,.125,.250,-28,1,0,0,0,0,0,CHW
CHW,OF,Duke Ellis*,26,8,4,4,1,0,0,0,0,0,4,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,CHW
