Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
CHW,SP,Erick Fedde,31,7,4,.636,3.11,21,21,0,0,0,0,121.2,105,43,42,14,34,0,108,2,1,2,502,133,3.76,1.142,7.8,1.0,2.5,8.0,3.18,CHW
CHW,SP,Garrett Crochet*,25,6,7,.462,3.07,21,21,0,0,0,0,111.1,83,39,38,10,25,0,157,5,1,3,444,135,2.30,0.970,6.7,0.8,2.0,12.7,6.28,CHW
CHW,SP,Chris Flexen,29,2,10,.167,5.25,22,20,0,0,0,0,106.1,108,67,62,18,43,1,78,2,2,2,462,79,5.15,1.420,9.1,1.5,3.6,6.6,1.81,CHW
CHW,SP,Jonathan Cannon,23,1,5,.167,4.43,12,10,1,0,0,1,63.0,70,34,31,8,15,0,44,1,1,1,266,94,4.16,1.349,10.0,1.1,2.1,6.3,2.93,CHW
CHW,SP,Drew Thorpe,23,3,2,.600,4.81,8,8,0,0,0,0,39.1,28,23,21,7,19,0,25,1,1,0,166,87,5.71,1.195,6.4,1.6,4.3,5.7,1.32,CHW
CHW,CL,Michael Kopech,28,2,8,.200,4.74,43,0,26,0,0,9,43.2,35,24,23,8,24,2,59,5,2,5,191,88,4.82,1.351,7.2,1.6,4.9,12.2,2.46,CHW
CHW,RP,Tanner Banks*,32,2,2,.500,4.21,40,1,8,0,0,2,47.0,46,30,22,5,15,2,52,2,0,0,201,99,3.40,1.298,8.8,1.0,2.9,10.0,3.47,CHW
CHW,RP,John Brebbia,34,0,5,.000,5.22,44,0,12,0,0,2,39.2,42,23,23,5,10,0,51,2,0,1,173,80,3.12,1.311,9.5,1.1,2.3,11.6,5.10,CHW
CHW,RP,Jordan Leasure ,25,0,2,.000,6.32,33,0,4,0,0,2,31.1,32,22,22,6,18,0,26,1,0,3,142,66,5.80,1.596,9.2,1.7,5.2,7.5,1.44,CHW
CHW,RP,Steven Wilson,29,1,6,.143,3.03,34,0,9,0,0,0,29.2,20,17,10,4,20,5,32,2,1,1,132,138,4.97,1.348,6.1,1.2,6.1,9.7,1.60,CHW
