Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
CIN,C,Tyler Stephenson,27,86,303,269,40,64,16,1,11,35,1,0,28,53,.238,.317,.428,.744,105,115,4,4,0,2,1,CIN
CIN,1B,Spencer Steer,26,102,428,376,53,90,24,2,15,64,15,2,45,89,.239,.329,.434,.763,111,163,3,6,0,1,1,CIN
CIN,2B,Jonathan India,27,96,398,335,51,89,21,1,8,40,9,1,51,79,.266,.369,.406,.775,116,136,8,7,0,5,0,CIN
CIN,SS,Elly De La Cruz#,22,103,444,388,70,100,21,7,18,45,51,9,49,138,.258,.348,.487,.836,130,189,8,5,2,0,1,CIN
CIN,3B,Jeimer Candelario#,30,92,383,351,40,81,21,2,16,49,4,3,24,92,.231,.287,.439,.726,99,154,7,5,0,3,1,CIN
CIN,LF,Will Benson*,26,94,310,274,30,53,16,2,11,34,13,6,31,125,.193,.278,.387,.665,83,106,3,2,1,2,0,CIN
CIN,CF,Stuart Fairchild,28,76,201,181,26,42,8,0,6,25,13,1,15,46,.232,.305,.376,.681,89,68,1,4,1,0,0,CIN
CIN,RF,Jake Fraley*,29,74,240,221,28,61,10,2,2,16,13,5,15,49,.276,.325,.367,.692,93,81,5,2,0,2,0,CIN
CIN,DH,Nick Martini* ,34,52,163,146,23,31,4,2,5,24,1,3,9,38,.212,.272,.370,.641,77,54,1,4,0,3,0,CIN
CIN,IF,Santiago Espinal,29,71,223,201,17,44,4,0,6,27,6,0,14,26,.219,.265,.328,.593,64,66,4,0,4,4,1,CIN
CIN,1B,Christian Encarnacion-Strand ,24,29,123,116,13,22,6,0,2,16,0,0,4,35,.190,.220,.293,.513,41,34,4,1,0,2,0,CIN
CIN,CF,TJ Friedl*,28,28,119,104,15,22,2,0,4,16,6,0,9,21,.212,.311,.346,.657,83,36,0,6,0,0,0,CIN
CIN,C,Luke Maile ,33,39,117,102,8,18,3,0,2,8,2,0,10,39,.176,.274,.265,.538,51,27,3,4,0,1,0,CIN
CIN,3B,Noelvi Marte,22,24,95,89,12,16,3,0,2,9,3,1,2,29,.180,.221,.281,.502,39,25,0,3,0,1,0,CIN
CIN,LF,Jacob Hurtubise* ,26,29,68,54,7,10,1,1,0,4,2,0,6,18,.185,.297,.241,.538,53,13,0,3,4,1,0,CIN
CIN,DH,Mike Ford*,31,17,62,60,2,9,0,1,1,4,0,0,2,15,.150,.177,.233,.411,13,14,1,0,0,0,0,CIN
CIN,RF,Rece Hinds ,23,10,40,38,7,12,4,1,5,11,2,0,1,12,.316,.350,.868,1.218,225,33,0,1,0,0,0,CIN
CIN,OF,Blake Dunn ,25,12,20,18,4,1,1,0,0,0,0,0,1,7,.056,.150,.111,.261,-26,2,1,1,0,0,0,CIN
CIN,OF,Austin Slater,31,7,18,16,2,2,0,0,0,3,0,0,1,4,.125,.167,.125,.292,-17,2,0,0,0,1,0,CIN
CIN,CF,Bubba Thompson,26,17,18,18,5,2,1,0,0,0,5,0,0,11,.111,.111,.167,.278,-24,3,1,0,0,0,0,CIN
CIN,C,Austin Wynns,33,6,17,17,3,6,4,0,0,1,0,0,0,4,.353,.353,.588,.941,156,10,0,0,0,0,0,CIN
CIN,UT,Levi Jordan,28,7,11,10,1,1,1,0,0,1,0,0,0,3,.100,.091,.200,.291,-22,2,0,0,0,1,0,CIN
CIN,1B,Edwin Ríos*,30,5,10,9,1,1,0,0,0,0,0,0,1,4,.111,.200,.111,.311,-10,1,0,0,0,0,0,CIN
CIN,DH,Conner Capel*,27,5,8,8,1,2,0,0,0,0,1,0,0,2,.250,.250,.250,.500,40,2,0,0,0,0,0,CIN
CIN,DH,Livan Soto* ,24,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,CIN
