Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
CLE,C,Bo Naylor*,24,77,249,224,29,46,9,1,6,25,3,1,21,81,.205,.274,.335,.609,72,75,2,1,1,2,1,CLE
CLE,1B,Josh Naylor*,27,97,405,357,55,85,17,0,22,72,5,2,38,70,.238,.319,.471,.790,121,168,13,6,0,3,6,CLE
CLE,2B,Andrés Giménez*,25,97,406,370,44,92,14,1,5,45,16,3,17,59,.249,.300,.332,.632,80,123,8,12,2,5,0,CLE
CLE,SS,Brayan Rocchio#,23,92,291,251,35,52,13,0,3,19,7,6,29,60,.207,.301,.295,.596,71,74,6,6,2,3,1,CLE
CLE,3B,José Ramírez#,31,101,438,403,72,109,22,1,24,82,19,3,32,58,.270,.324,.509,.833,132,205,6,1,0,2,8,CLE
CLE,LF,Steven Kwan*,26,78,345,315,57,107,14,2,10,29,6,4,25,30,.340,.394,.492,.886,150,155,5,3,2,0,0,CLE
CLE,CF,Tyler Freeman,25,92,331,284,44,63,13,1,7,32,9,6,27,48,.222,.317,.349,.666,90,99,13,14,3,3,1,CLE
CLE,RF,Will Brennan*,26,77,247,227,28,53,7,1,8,24,3,1,16,30,.233,.291,.379,.670,89,86,6,3,0,1,2,CLE
CLE,DH,David Fry,28,81,272,227,32,66,14,0,8,35,4,1,33,57,.291,.395,.458,.853,142,104,10,8,0,3,4,CLE
CLE,IF,Gabriel Arias ,24,53,161,153,15,34,9,1,3,15,5,2,6,53,.222,.255,.353,.608,71,54,4,1,0,1,0,CLE
CLE,UT,Daniel Schneemann*,27,39,124,108,11,23,6,2,4,15,1,0,14,38,.213,.298,.417,.715,101,45,1,0,0,2,0,CLE
CLE,OF,Estevan Florial*,26,36,111,98,11,17,6,2,3,11,2,1,11,41,.173,.264,.367,.631,77,36,2,1,1,0,0,CLE
CLE,UT,Angel Martínez#,22,22,94,82,9,20,5,0,2,6,2,0,10,14,.244,.323,.378,.701,99,31,2,0,1,1,0,CLE
CLE,C,Austin Hedges,31,39,90,83,9,13,3,0,1,10,2,0,4,34,.157,.211,.229,.440,25,19,2,2,0,1,0,CLE
CLE,DH,Kyle Manzardo* ,23,30,87,82,4,17,10,0,0,7,0,0,3,23,.207,.241,.329,.571,60,27,1,1,0,1,0,CLE
CLE,OF,Ramón Laureano,29,31,83,70,7,10,3,0,1,4,3,1,7,32,.143,.265,.229,.494,43,16,1,5,0,1,0,CLE
CLE,UT,Jhonkensy Noel,22,22,61,56,6,12,3,0,5,8,0,0,3,22,.214,.262,.536,.798,119,30,0,1,0,1,0,CLE
CLE,RF,Johnathan Rodríguez ,24,13,40,31,6,4,1,0,0,5,0,0,9,14,.129,.325,.161,.486,45,5,1,0,0,0,0,CLE
CLE,3B,José Tena* ,23,3,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,CLE
