Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
CLE,SP,Tanner Bibee,25,8,4,.667,3.50,21,21,0,0,0,0,115.2,95,47,45,14,31,0,130,5,0,2,471,116,3.41,1.089,7.4,1.1,2.4,10.1,4.19,CLE
CLE,SP,Ben Lively,32,9,6,.600,3.44,18,18,0,0,0,0,99.1,87,38,38,16,29,0,86,3,1,2,403,118,4.48,1.168,7.9,1.4,2.6,7.8,2.97,CLE
CLE,SP,Carlos Carrasco,37,3,9,.250,5.68,19,19,0,0,0,0,95.0,106,63,60,17,27,0,79,5,0,5,409,71,4.82,1.400,10.0,1.6,2.6,7.5,2.93,CLE
CLE,SP,Logan Allen* ,25,8,4,.667,5.67,18,18,0,0,0,0,87.1,100,56,55,18,35,0,76,4,0,4,386,72,5.43,1.546,10.3,1.9,3.6,7.8,2.17,CLE
CLE,SP,Triston McKenzie ,26,3,5,.375,5.11,16,16,0,0,0,0,75.2,69,46,43,19,49,1,74,1,0,5,340,79,6.44,1.559,8.2,2.3,5.8,8.8,1.51,CLE
CLE,CL,Emmanuel Clase,26,4,1,.800,0.74,49,0,44,0,0,32,48.1,26,8,4,1,6,0,41,2,0,2,178,547,2.22,0.662,4.8,0.2,1.1,7.6,6.83,CLE
CLE,RP,Hunter Gaddis,26,4,2,.667,1.10,51,0,5,0,0,0,49.0,27,7,6,1,8,0,47,2,0,2,180,369,2.11,0.714,5.0,0.2,1.5,8.6,5.88,CLE
CLE,RP,Cade Smith,25,5,1,.833,2.06,47,0,2,0,0,1,48.0,35,11,11,1,10,0,67,3,1,0,186,197,1.44,0.938,6.6,0.2,1.9,12.6,6.70,CLE
CLE,RP,Scott Barlow,31,3,3,.500,3.24,48,0,9,0,0,2,41.2,32,15,15,4,23,1,57,1,0,1,178,126,3.39,1.320,6.9,0.9,5.0,12.3,2.48,CLE
CLE,RP,Tim Herrin*,27,3,0,1.000,1.31,47,0,4,0,0,0,41.1,21,8,6,1,20,0,42,1,0,3,162,312,2.95,0.992,4.6,0.2,4.4,9.1,2.10,CLE
