Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
COL,C,Elias Díaz,33,73,287,265,22,73,15,0,5,31,0,0,16,53,.275,.324,.389,.713,95,103,11,4,0,2,2,COL
COL,1B,Elehuris Montero,25,67,247,224,23,46,10,0,4,28,0,0,20,56,.205,.267,.304,.571,56,68,7,0,0,3,0,COL
COL,2B,Brendan Rodgers,27,88,347,323,41,86,16,1,7,33,1,0,22,77,.266,.314,.387,.701,91,125,8,1,0,1,1,COL
COL,SS,Ezequiel Tovar,22,103,457,430,53,122,29,2,17,50,4,4,15,129,.284,.310,.479,.789,112,206,10,3,4,4,0,COL
COL,3B,Ryan McMahon*,29,102,434,380,50,100,21,0,15,47,3,5,48,123,.263,.347,.437,.784,113,166,8,2,0,2,3,COL
COL,LF,Nolan Jones* ,26,49,191,163,19,33,7,1,3,14,3,3,25,63,.202,.311,.313,.623,72,51,4,1,1,1,2,COL
COL,CF,Brenton Doyle,26,101,416,371,59,102,18,3,17,53,21,5,34,104,.275,.337,.477,.814,120,177,10,3,4,4,1,COL
COL,RF,Jake Cave*,31,84,216,199,29,50,8,3,3,22,4,2,15,58,.251,.301,.367,.668,82,73,6,0,0,2,1,COL
COL,DH,Charlie Blackmon*,37,80,322,289,42,74,19,3,7,34,5,1,28,54,.256,.332,.415,.748,104,120,3,5,0,0,2,COL
COL,1B,Michael Toglia#,25,60,228,205,32,43,4,2,17,38,4,0,19,73,.210,.276,.498,.774,106,102,5,1,0,3,1,COL
COL,C,Jacob Stallings,34,57,191,163,21,44,12,1,5,24,0,0,21,40,.270,.368,.448,.816,123,73,9,5,1,1,1,COL
COL,UT,Hunter Goodman,24,46,142,133,13,22,7,0,7,21,1,1,4,43,.165,.204,.376,.580,55,50,3,3,0,2,0,COL
COL,UT,Kris Bryant,32,28,119,102,9,20,3,0,2,10,0,0,12,39,.196,.311,.284,.595,65,29,5,5,0,0,0,COL
COL,OF,Sean Bouchard ,28,31,108,91,14,17,7,0,1,8,4,0,12,33,.187,.290,.297,.586,62,27,0,2,1,2,0,COL
COL,LF,Jordan Beck ,23,23,81,79,4,15,4,0,2,8,2,0,1,30,.190,.198,.316,.514,38,25,0,0,0,1,1,COL
COL,2B,Alan Trejo,28,28,67,63,4,9,0,0,0,1,0,0,2,15,.143,.182,.143,.325,-9,9,2,1,1,0,0,COL
COL,OF,Sam Hilliard*,30,21,50,41,10,10,1,0,3,8,3,1,5,14,.244,.313,.488,.800,115,20,0,0,2,2,1,COL
COL,2B,Adael Amador# ,21,10,36,35,1,6,1,0,0,0,1,0,1,6,.171,.194,.200,.394,9,7,1,0,0,0,0,COL
COL,IF,Aaron Schunk,26,16,31,30,3,3,1,0,0,0,0,0,1,12,.100,.129,.133,.262,-28,4,0,0,0,0,1,COL
COL,RF,Greg Jones# ,26,6,6,5,1,1,0,0,1,1,0,0,1,4,.200,.333,.800,1.133,198,4,0,0,0,0,0,COL
