Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
COL,SP,Ryan Feltner,27,1,10,.091,4.99,21,21,0,0,0,0,115.1,125,77,64,15,38,0,103,5,0,2,501,90,4.17,1.413,9.8,1.2,3.0,8.0,2.71,COL
COL,SP,Cal Quantrill,29,7,7,.500,4.09,21,21,0,0,0,0,114.1,110,53,52,15,43,0,86,8,1,4,484,110,4.69,1.338,8.7,1.2,3.4,6.8,2.00,COL
COL,SP,Austin Gomber*,30,2,6,.250,4.70,19,19,0,0,0,0,105.1,111,56,55,19,26,0,72,0,0,3,441,96,4.87,1.301,9.5,1.6,2.2,6.2,2.77,COL
COL,SP,Dakota Hudson,29,2,12,.143,5.84,17,17,0,0,0,0,86.1,96,61,56,10,46,0,48,5,0,3,391,77,5.31,1.645,10.0,1.0,4.8,5.0,1.04,COL
COL,SP,Ty Blach* ,33,3,6,.333,6.36,18,10,4,0,0,0,63.2,92,45,45,13,16,0,34,5,0,1,295,71,5.72,1.696,13.0,1.8,2.3,4.8,2.13,COL
COL,SP,Kyle Freeland*,31,2,4,.333,6.23,10,10,0,0,0,0,52.0,68,40,36,8,15,0,42,1,0,1,235,73,4.45,1.596,11.8,1.4,2.6,7.3,2.80,COL
COL,CL,Jalen Beeks*,30,6,4,.600,4.74,45,0,21,0,0,9,49.1,49,29,26,6,18,1,38,1,0,5,211,95,4.34,1.358,8.9,1.1,3.3,6.9,2.11,COL
COL,RP,Victor Vodnik,24,2,1,.667,3.98,44,0,9,0,0,3,54.1,53,26,24,5,23,1,49,1,0,4,233,114,3.86,1.399,8.8,0.8,3.8,8.1,2.13,COL
COL,RP,Nick Mears,27,1,4,.200,5.56,41,0,11,0,0,0,45.1,47,30,28,2,21,1,57,0,0,3,203,82,2.60,1.500,9.3,0.4,4.2,11.3,2.71,COL
COL,RP,Tyler Kinley,33,4,1,.800,7.42,46,0,16,0,0,5,43.2,51,36,36,10,25,2,46,1,0,2,206,61,5.80,1.740,10.5,2.1,5.2,9.5,1.84,COL
COL,RP,Justin Lawrence,29,3,4,.429,5.26,36,0,12,0,0,2,39.1,44,31,23,4,21,1,30,4,0,2,179,86,4.85,1.653,10.1,0.9,4.8,6.9,1.43,COL
