Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
DET,C,Carson Kelly,29,59,202,178,21,43,4,1,7,29,0,0,17,39,.242,.327,.393,.720,101,70,3,6,0,1,0,DET
DET,1B,Spencer Torkelson ,24,54,230,209,24,42,15,0,4,18,0,0,16,56,.201,.266,.330,.597,67,69,3,3,0,1,0,DET
DET,2B,Colt Keith*,22,95,350,321,40,83,10,3,11,41,5,1,26,65,.259,.317,.411,.728,103,132,4,2,0,1,1,DET
DET,SS,Javier Báez,31,66,240,227,20,41,10,0,4,32,6,1,8,50,.181,.213,.278,.490,36,63,10,2,0,3,0,DET
DET,3B,Gio Urshela,32,78,280,261,20,64,8,1,4,32,0,0,14,46,.245,.282,.330,.612,71,86,10,1,0,4,0,DET
DET,LF,Riley Greene* ,23,101,427,371,57,98,21,5,17,51,4,1,51,109,.264,.357,.485,.842,134,180,1,3,0,1,3,DET
DET,CF,Matt Vierling,27,94,369,345,51,88,18,5,13,42,2,1,19,84,.255,.295,.449,.745,105,155,5,2,0,3,0,DET
DET,RF,Wenceel Pérez#,24,86,334,307,44,77,13,5,7,27,9,3,23,67,.251,.304,.394,.698,94,121,3,1,2,1,0,DET
DET,DH,Mark Canha,35,91,369,313,41,73,17,0,7,38,4,0,41,76,.233,.339,.355,.693,96,111,9,11,0,4,2,DET
DET,C,Jake Rogers,29,64,215,201,30,41,9,1,7,22,1,0,10,66,.204,.247,.363,.610,68,73,3,2,0,2,0,DET
DET,SS,Zach McKinstry*,29,70,193,179,17,33,6,3,3,15,8,0,12,45,.184,.238,.302,.540,51,54,2,1,0,1,0,DET
DET,RF,Kerry Carpenter* ,26,50,163,145,21,41,10,4,8,29,0,1,11,38,.283,.342,.572,.914,151,83,2,3,0,2,1,DET
DET,2B,Andy Ibáñez,31,58,152,141,23,40,7,1,4,23,1,1,7,39,.284,.322,.433,.755,110,61,1,2,0,2,0,DET
DET,DH,Justyn-Henry Malloy,24,40,140,122,14,26,3,1,7,17,1,1,15,50,.213,.307,.426,.733,103,52,0,2,0,1,0,DET
DET,CF,Parker Meadows* ,24,35,97,84,11,11,2,1,3,5,4,3,12,34,.131,.247,.286,.533,50,24,0,1,0,0,0,DET
DET,LF,Akil Baddoo* ,25,26,69,60,7,7,1,2,2,4,1,0,8,24,.117,.217,.300,.517,44,18,0,0,0,1,0,DET
DET,SS,Ryan Kreidler ,26,19,44,40,6,5,0,0,1,2,2,1,4,15,.125,.205,.200,.405,15,8,0,0,0,0,0,DET
DET,UT,Ryan Vilade,25,9,30,27,4,8,0,0,1,4,0,0,2,6,.296,.345,.407,.752,111,11,2,0,1,0,0,DET
DET,1B,Bligh Madris*,28,5,18,17,2,6,1,0,0,1,0,0,1,5,.353,.389,.412,.801,126,7,0,0,0,0,0,DET
DET,IF,Buddy Kennedy,25,6,13,10,2,2,0,0,1,4,1,0,2,4,.200,.308,.500,.808,122,5,0,0,0,1,0,DET
