Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
DET,SP,Tarik Skubal*,27,12,3,.800,2.35,21,21,0,0,0,0,130.0,96,37,34,11,24,0,154,6,0,1,514,179,2.57,0.923,6.6,0.8,1.7,10.7,6.42,DET
DET,SP,Jack Flaherty,28,7,5,.583,2.95,18,18,0,0,0,0,106.2,83,38,35,15,19,0,133,3,0,4,415,143,3.10,0.956,7.0,1.3,1.6,11.2,7.00,DET
DET,SP,Reese Olson ,24,4,8,.333,3.23,19,19,0,0,0,0,103.0,91,44,37,6,31,0,92,3,0,4,425,130,3.11,1.184,8.0,0.5,2.7,8.0,2.97,DET
DET,SP,Casey Mize ,27,2,6,.250,4.23,16,16,0,0,0,0,78.2,93,42,37,7,21,0,58,1,1,1,345,100,3.67,1.449,10.6,0.8,2.4,6.6,2.76,DET
DET,SP,Kenta Maeda,36,2,5,.286,7.07,18,16,0,0,0,0,71.1,85,58,56,16,23,0,56,1,0,2,312,60,5.50,1.514,10.7,2.0,2.9,7.1,2.43,DET
DET,CL,Jason Foley,28,2,3,.400,3.22,41,0,21,0,0,15,36.1,36,16,13,4,13,1,26,1,1,1,156,132,4.30,1.349,8.9,1.0,3.2,6.4,2.00,DET
DET,RP,Tyler Holton*,28,4,1,.800,2.97,41,3,7,0,0,3,57.2,39,20,19,5,12,1,46,4,0,0,225,143,3.51,0.884,6.1,0.8,1.9,7.2,3.83,DET
DET,RP,Will Vest,29,2,3,.400,3.15,46,0,10,0,0,0,45.2,44,17,16,2,14,2,39,2,0,3,191,134,3.06,1.270,8.7,0.4,2.8,7.7,2.79,DET
DET,RP,Shelby Miller,33,5,6,.455,4.66,33,0,14,0,0,2,36.2,25,20,19,6,8,0,32,4,0,0,148,91,4.51,0.900,6.1,1.5,2.0,7.9,4.00,DET
DET,RP,Andrew Chafin*,34,3,2,.600,3.25,40,0,10,0,0,1,36.0,34,16,13,2,15,1,47,1,0,3,157,131,2.59,1.361,8.5,0.5,3.8,11.8,3.13,DET
