Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
HOU,C,Yainer Diaz,25,93,380,357,43,103,17,3,8,55,1,0,15,55,.289,.313,.420,.733,107,150,14,1,0,7,1,HOU
HOU,1B,Jon Singleton*,32,80,284,250,36,58,6,0,8,26,0,0,32,76,.232,.317,.352,.669,91,88,2,0,0,2,0,HOU
HOU,2B,Jose Altuve,34,101,448,418,59,128,19,0,14,46,15,5,26,86,.306,.353,.452,.805,128,189,7,4,0,0,1,HOU
HOU,SS,Jeremy Peña,26,102,424,391,53,111,18,1,9,47,12,5,18,68,.284,.327,.404,.731,108,158,10,9,2,4,0,HOU
HOU,3B,Alex Bregman,30,100,436,398,53,102,20,2,14,51,3,0,32,57,.256,.317,.422,.739,109,168,9,4,0,2,0,HOU
HOU,LF,Mauricio Dubón,29,84,269,254,35,69,19,0,3,31,2,2,9,32,.272,.296,.382,.678,92,97,3,1,2,3,0,HOU
HOU,CF,Jake Meyers,28,95,325,295,35,71,15,2,11,43,7,3,22,72,.241,.306,.417,.723,104,123,7,6,1,1,0,HOU
HOU,RF,Kyle Tucker* ,27,60,262,214,42,57,11,0,19,40,10,0,46,41,.266,.395,.584,.979,175,125,5,0,0,1,1,HOU
HOU,DH,Yordan Alvarez*,27,99,425,370,58,111,25,2,20,54,5,0,44,67,.300,.384,.541,.924,160,200,9,8,0,3,9,HOU
HOU,OF,Chas McCormick,29,62,191,173,23,36,5,1,4,21,7,2,14,55,.208,.272,.318,.590,68,55,2,2,0,2,0,HOU
HOU,C,Victor Caratini#,30,41,120,110,14,29,5,1,5,19,0,0,5,16,.264,.300,.464,.764,114,51,3,2,0,3,0,HOU
HOU,1B,José Abreu,37,35,120,113,10,14,2,0,2,7,0,0,4,28,.124,.167,.195,.361,3,22,4,2,0,1,0,HOU
HOU,OF,Joey Loperfido*,25,37,115,103,11,25,5,1,2,16,2,1,7,40,.243,.307,.369,.676,92,38,1,3,1,1,0,HOU
HOU,RF,Trey Cabbage*,27,38,80,77,12,18,8,0,1,8,1,1,2,27,.234,.263,.377,.639,80,29,1,1,0,0,0,HOU
HOU,C,César Salazar* ,28,9,29,22,5,7,2,0,0,8,0,0,2,4,.318,.393,.409,.802,130,9,0,2,1,2,0,HOU
HOU,IF,Grae Kessinger ,26,15,15,15,1,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,1,0,0,0,0,HOU
HOU,LF,Cooper Hummel# ,29,6,8,8,0,0,0,0,0,0,1,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,0,0,HOU
HOU,IF,Aledmys Díaz,33,2,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,HOU
HOU,2B,Jacob Amaya ,25,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,HOU
