Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
HOU,SP,Ronel Blanco,30,9,5,.643,2.95,20,20,0,1,1,0,119.0,73,42,39,18,46,0,114,2,0,2,472,135,4.41,1.000,5.5,1.4,3.5,8.6,2.48,HOU
HOU,SP,Hunter Brown,25,9,6,.600,4.00,21,20,0,0,0,0,110.1,109,50,49,14,42,0,118,5,1,3,472,99,3.94,1.369,8.9,1.1,3.4,9.6,2.81,HOU
HOU,SP,Framber Valdez*,30,9,5,.643,3.43,18,18,0,1,0,0,110.1,101,45,42,9,38,0,98,5,1,6,452,116,3.60,1.260,8.2,0.7,3.1,8.0,2.58,HOU
HOU,SP,Spencer Arrighetti,24,4,8,.333,5.65,18,18,0,0,0,0,86.0,91,55,54,11,45,0,96,6,0,2,392,70,4.36,1.581,9.5,1.2,4.7,10.0,2.13,HOU
HOU,SP,Justin Verlander ,41,3,2,.600,3.95,10,10,0,0,0,0,57.0,52,26,25,11,17,0,51,4,0,1,239,101,4.97,1.211,8.2,1.7,2.7,8.1,3.00,HOU
HOU,SP,Cristian Javier ,27,3,1,.750,3.89,7,7,0,0,0,0,34.2,30,16,15,4,19,0,27,0,0,1,150,103,4.73,1.413,7.8,1.0,4.9,7.0,1.42,HOU
HOU,CL,Josh Hader*,30,4,5,.444,3.60,45,0,40,0,0,20,45.0,30,19,18,8,13,0,70,0,0,3,176,111,3.21,0.956,6.0,1.6,2.6,14.0,5.38,HOU
HOU,RP,Bryan Abreu,27,1,1,.500,2.82,51,0,3,0,0,1,51.0,40,16,16,6,27,0,72,6,1,3,218,141,3.79,1.314,7.1,1.1,4.8,12.7,2.67,HOU
HOU,RP,Tayler Scott,32,7,3,.700,1.45,45,0,11,0,0,0,49.2,27,12,8,3,23,1,50,2,0,0,198,275,3.43,1.007,4.9,0.5,4.2,9.1,2.17,HOU
HOU,RP,Ryan Pressly,35,0,3,.000,3.40,42,0,4,0,0,2,39.2,38,18,15,2,11,0,44,1,0,6,167,117,2.49,1.235,8.6,0.5,2.5,10.0,4.00,HOU
HOU,RP,Rafael Montero,33,1,2,.333,4.58,40,0,6,0,0,0,37.1,34,20,19,8,17,0,23,3,0,0,158,87,6.31,1.366,8.2,1.9,4.1,5.5,1.35,HOU
