Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
KCR,C,Salvador Perez,34,102,413,375,43,104,16,0,19,70,0,0,28,80,.277,.337,.472,.809,121,177,12,7,0,3,8,KCR
KCR,1B,Vinnie Pasquantino*,26,101,418,368,45,95,23,2,11,67,0,0,34,54,.258,.318,.421,.739,103,155,9,4,0,12,1,KCR
KCR,2B,Michael Massey*,26,50,180,170,24,44,8,1,8,29,0,0,4,26,.259,.275,.459,.734,99,78,6,1,2,3,1,KCR
KCR,SS,Bobby Witt Jr.,24,105,459,418,84,143,29,10,18,71,23,10,30,73,.342,.388,.589,.976,166,246,2,5,0,6,4,KCR
KCR,3B,Maikel Garcia,24,102,440,405,62,95,16,5,6,45,23,1,29,68,.235,.284,.343,.628,73,139,5,0,4,2,0,KCR
KCR,LF,MJ Melendez* ,25,85,288,265,26,52,15,2,11,29,2,1,21,75,.196,.260,.392,.653,78,104,2,2,0,0,1,KCR
KCR,CF,Kyle Isbel*,27,84,267,243,39,57,6,5,7,27,7,2,17,51,.235,.286,.387,.673,85,94,3,1,5,1,0,KCR
KCR,RF,Hunter Renfroe,32,84,287,257,32,60,15,0,10,38,1,1,28,48,.233,.314,.409,.722,99,105,7,2,0,0,0,KCR
KCR,DH,Nelson Velázquez ,25,64,230,205,31,41,8,1,8,27,2,0,19,61,.200,.274,.366,.640,76,75,6,3,0,3,0,KCR
KCR,2B,Adam Frazier*,32,68,210,188,22,37,7,0,3,15,2,0,17,40,.197,.278,.282,.559,56,53,0,4,1,0,0,KCR
KCR,C,Freddy Fermin,29,64,208,190,28,56,10,0,4,23,0,0,14,40,.295,.346,.411,.757,109,78,6,2,0,2,1,KCR
KCR,IF,Nick Loftin,25,54,164,141,15,28,4,0,1,13,1,0,19,22,.199,.294,.248,.543,53,35,4,1,1,2,0,KCR
KCR,CF,Garrett Hampson,29,74,156,145,12,37,11,1,0,13,6,2,9,40,.255,.299,.345,.644,78,50,2,0,2,0,0,KCR
KCR,OF,Dairon Blanco,31,57,98,89,22,21,3,0,1,5,18,5,5,23,.236,.281,.303,.585,63,27,0,1,1,1,0,KCR
KCR,OF,Drew Waters#,25,7,19,16,2,3,1,0,0,1,0,0,2,6,.188,.316,.250,.566,61,4,0,1,0,0,0,KCR
KCR,3B,CJ Alexander* ,27,4,8,8,0,1,0,0,0,0,0,0,0,3,.125,.125,.125,.250,-30,1,0,0,0,0,0,KCR
