Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
KCR,SP,Seth Lugo,34,12,5,.706,2.66,22,22,0,1,0,0,142.1,116,44,42,12,32,0,124,7,0,1,569,163,3.32,1.040,7.3,0.8,2.0,7.8,3.88,KCR
KCR,SP,Cole Ragans*,26,7,6,.538,3.23,21,21,0,1,0,0,122.2,101,45,44,9,40,1,146,2,0,11,502,134,2.75,1.149,7.4,0.7,2.9,10.7,3.65,KCR
KCR,SP,Brady Singer,27,7,6,.538,2.82,21,21,0,0,0,0,118.0,103,40,37,13,36,0,111,8,0,2,490,154,3.82,1.178,7.9,1.0,2.7,8.5,3.08,KCR
KCR,SP,Michael Wacha,32,7,6,.538,3.65,18,18,0,0,0,0,101.0,94,43,41,12,29,1,86,3,0,2,418,119,3.94,1.218,8.4,1.1,2.6,7.7,2.97,KCR
KCR,SP,Alec Marsh,26,7,7,.500,4.75,19,18,1,0,0,0,96.2,89,52,51,14,31,1,90,3,1,2,404,91,4.22,1.241,8.3,1.3,2.9,8.4,2.90,KCR
KCR,CL,James McArthur,27,4,4,.500,4.91,38,0,29,0,0,17,40.1,49,26,22,6,8,0,32,2,0,1,173,89,4.24,1.413,10.9,1.3,1.8,7.1,4.00,KCR
KCR,RP,Chris Stratton,33,2,3,.400,4.57,41,0,14,0,0,4,41.1,29,23,21,3,27,0,37,1,0,1,178,95,4.33,1.355,6.3,0.7,5.9,8.1,1.37,KCR
KCR,RP,Angel Zerpa*,24,1,0,1.000,3.11,43,0,0,0,0,0,37.2,40,14,13,3,10,1,34,2,0,1,163,140,3.33,1.327,9.6,0.7,2.4,8.1,3.40,KCR
KCR,RP,John Schreiber,30,3,3,.500,4.17,42,0,2,0,0,1,36.2,39,19,17,1,13,0,30,4,0,0,165,105,3.26,1.418,9.6,0.2,3.2,7.4,2.31,KCR
KCR,RP,Nick Anderson,33,3,1,.750,4.04,37,0,19,0,0,1,35.2,35,17,16,6,15,1,29,1,0,1,153,108,5.05,1.402,8.8,1.5,3.8,7.3,1.93,KCR
