Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
LAA,C,Logan O'Hoppe,24,90,344,316,46,88,13,1,14,43,2,2,18,87,.278,.332,.459,.791,119,145,7,8,1,1,0,LAA
LAA,1B,Nolan Schanuel*,22,97,398,340,38,84,11,0,11,37,4,0,43,66,.247,.338,.376,.714,100,128,9,6,3,5,0,LAA
LAA,2B,Brandon Drury,31,53,198,177,19,29,4,0,1,8,0,0,16,42,.164,.242,.203,.446,27,36,5,3,0,2,0,LAA
LAA,SS,Zach Neto,23,102,379,349,43,89,23,0,13,46,18,6,19,85,.255,.308,.433,.740,104,151,8,8,2,1,0,LAA
LAA,3B,Luis Rengifo#,27,74,289,270,37,82,13,1,6,29,23,7,14,39,.304,.347,.426,.773,115,115,6,4,1,0,0,LAA
LAA,LF,Taylor Ward,30,102,428,374,46,84,18,0,15,47,3,3,45,106,.225,.308,.393,.701,95,147,8,3,0,6,0,LAA
LAA,CF,Mickey Moniak*,26,86,282,265,30,55,11,2,6,31,6,3,15,74,.208,.252,.332,.584,62,88,2,1,0,1,0,LAA
LAA,RF,Jo Adell,25,95,322,289,39,56,9,1,15,46,13,7,25,94,.194,.265,.388,.652,80,112,6,4,0,3,1,LAA
LAA,DH,Willie Calhoun*,29,60,220,200,23,51,15,0,4,17,0,1,18,31,.255,.318,.390,.708,97,78,3,1,0,1,1,LAA
LAA,OF,Kevin Pillar,35,50,162,151,24,45,9,1,6,28,7,2,6,27,.298,.346,.490,.836,130,74,5,5,0,0,0,LAA
LAA,3B,Anthony Rendon,34,33,142,128,13,29,6,0,0,6,4,1,11,26,.227,.289,.273,.562,59,35,2,1,0,2,0,LAA
LAA,CF,Mike Trout ,32,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,137,59,0,1,0,0,1,LAA
LAA,IF,Luis Guillorme*,29,42,104,92,6,23,4,1,0,3,1,2,10,18,.250,.320,.315,.636,79,29,4,0,1,1,0,LAA
LAA,CI,Miguel Sanó,31,28,95,83,9,17,3,0,2,6,0,0,9,36,.205,.295,.313,.608,71,26,2,2,0,1,0,LAA
LAA,C,Matt Thaiss*,29,29,90,78,8,18,6,0,1,7,0,0,12,30,.231,.333,.346,.679,91,27,0,0,0,0,0,LAA
LAA,OF,Aaron Hicks#,34,18,63,57,6,8,0,0,1,5,0,0,6,23,.140,.222,.193,.415,18,11,1,0,0,0,0,LAA
LAA,2B,Kyren Paris ,22,21,59,51,4,6,2,0,1,5,1,0,7,17,.118,.224,.216,.440,24,11,1,0,0,0,0,LAA
LAA,UT,Cole Tucker#,27,24,57,50,3,9,4,1,0,3,3,1,6,17,.180,.263,.300,.563,57,15,0,0,0,1,0,LAA
LAA,2B,Michael Stefanic ,28,10,35,31,1,6,1,0,0,4,0,0,3,4,.194,.286,.226,.512,46,7,1,1,0,0,0,LAA
LAA,IF,Ehire Adrianza#,34,8,28,26,4,5,1,0,1,2,0,0,2,11,.192,.250,.346,.596,65,9,1,0,0,0,0,LAA
LAA,2B,Keston Hiura,27,10,27,27,1,4,0,0,0,1,0,1,0,10,.148,.148,.148,.296,-16,4,0,0,0,0,0,LAA
LAA,CI,Niko Goodrum#,32,4,15,13,1,0,0,0,0,0,1,0,2,4,.000,.133,.000,.133,-58,0,0,0,0,0,0,LAA
