Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
LAA,SP,Tyler Anderson*,34,8,9,.471,2.96,21,21,0,0,0,0,130.2,100,44,43,15,49,1,99,4,1,1,531,144,4.34,1.140,6.9,1.0,3.4,6.8,2.02,LAA
LAA,SP,Griffin Canning,28,3,10,.231,5.04,21,21,0,0,0,0,110.2,116,66,62,20,41,0,79,6,4,4,485,84,5.34,1.419,9.4,1.6,3.3,6.4,1.93,LAA
LAA,SP,José Soriano,25,6,7,.462,3.51,18,16,1,0,0,0,95.0,74,41,37,8,37,1,77,8,0,6,389,121,4.04,1.168,7.0,0.8,3.5,7.3,2.08,LAA
LAA,SP,Patrick Sandoval* ,27,2,8,.200,5.08,16,16,0,0,0,0,79.2,85,49,45,8,35,2,81,3,2,6,353,84,3.85,1.506,9.6,0.9,4.0,9.2,2.31,LAA
LAA,SP,Reid Detmers* ,24,3,6,.333,6.14,12,12,0,0,0,0,63.0,66,45,43,10,27,0,70,2,0,3,277,69,4.37,1.476,9.4,1.4,3.9,10.0,2.59,LAA
LAA,CL,Carlos Estévez,31,1,3,.250,2.38,34,0,29,0,0,20,34.0,20,10,9,3,5,2,32,0,0,1,124,180,2.85,0.735,5.3,0.8,1.3,8.5,6.40,LAA
LAA,RP,Hunter Strickland,35,2,1,.667,3.12,47,0,6,0,0,0,49.0,35,19,17,5,13,1,40,2,0,0,194,137,3.76,0.980,6.4,0.9,2.4,7.3,3.08,LAA
LAA,RP,Luis García,37,5,1,.833,3.80,44,0,7,0,0,3,42.2,37,21,18,4,14,1,40,3,0,5,179,113,3.69,1.195,7.8,0.8,3.0,8.4,2.86,LAA
LAA,RP,Matt Moore*,35,4,2,.667,5.58,43,0,9,0,0,1,40.1,36,28,25,10,21,0,36,2,0,1,178,77,6.30,1.413,8.0,2.2,4.7,8.0,1.71,LAA
LAA,RP,Adam Cimber,33,3,0,1.000,7.03,28,0,2,0,0,0,24.1,20,19,19,1,14,2,19,6,0,1,107,61,4.59,1.397,7.4,0.4,5.2,7.0,1.36,LAA
