Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
LAD,C,Will Smith,29,87,376,328,50,84,19,1,15,56,0,1,37,73,.256,.335,.457,.792,124,150,5,5,0,6,5,LAD
LAD,1B,Freddie Freeman* ,34,104,456,379,63,109,26,2,16,67,5,2,61,68,.288,.395,.493,.888,152,187,10,10,0,6,7,LAD
LAD,2B,Gavin Lux*,26,87,305,284,33,67,12,2,5,30,4,1,20,66,.236,.289,.345,.634,80,98,6,1,0,0,0,LAD
LAD,SS,Mookie Betts ,31,72,331,283,50,86,16,3,10,40,9,1,47,34,.304,.405,.488,.892,154,138,5,1,0,0,0,LAD
LAD,3B,Max Muncy* ,33,40,167,139,24,31,8,0,9,28,0,0,21,50,.223,.323,.475,.798,124,66,1,2,0,5,2,LAD
LAD,LF,Teoscar Hernández,31,104,441,399,51,105,20,1,21,68,4,2,35,122,.263,.330,.476,.806,127,190,6,5,0,1,1,LAD
LAD,CF,Andy Pages,23,86,350,320,49,78,17,1,8,29,1,2,20,87,.244,.297,.378,.675,91,121,7,6,0,4,0,LAD
LAD,RF,Jason Heyward*,34,47,152,131,18,26,7,2,5,22,3,0,15,25,.198,.296,.397,.693,96,52,3,4,0,2,0,LAD
LAD,DH,Shohei Ohtani*,29,103,470,403,81,128,28,4,32,76,26,4,59,105,.318,.406,.645,1.051,194,260,6,3,0,3,7,LAD
LAD,3B,Enrique Hernández,32,79,243,221,24,45,8,0,6,19,0,0,21,54,.204,.272,.321,.593,69,71,9,0,0,1,0,LAD
LAD,SS,Miguel Rojas ,35,67,207,192,22,52,17,0,3,21,5,1,12,22,.271,.316,.406,.722,105,78,5,1,1,1,0,LAD
LAD,LF,Chris Taylor ,33,64,189,162,17,27,5,1,3,15,3,1,23,62,.167,.277,.265,.542,56,43,4,2,1,1,0,LAD
LAD,CF,James Outman*,27,47,145,129,10,19,4,0,3,10,2,1,13,51,.147,.241,.248,.489,41,32,0,3,0,0,0,LAD
LAD,C,Austin Barnes,34,34,104,93,7,26,2,0,1,8,1,0,9,25,.280,.343,.333,.676,95,31,1,0,2,0,0,LAD
LAD,LF,Miguel Vargas,24,30,80,71,11,17,4,0,3,9,1,0,8,16,.239,.313,.423,.735,108,30,1,0,0,1,0,LAD
LAD,CI,Cavan Biggio*,29,24,63,53,9,11,1,0,2,6,0,0,6,19,.208,.311,.340,.651,86,18,0,2,1,0,0,LAD
LAD,SS,Nick Ahmed,34,4,14,14,3,4,0,0,1,1,0,0,0,7,.286,.286,.500,.786,119,7,0,0,0,0,0,LAD
LAD,OF,Taylor Trammell*,26,5,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,LAD
