Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
LAD,SP,Tyler Glasnow,30,8,6,.571,3.47,19,19,0,0,0,0,114.0,76,45,44,13,33,0,147,0,1,11,446,113,2.92,0.956,6.0,1.0,2.6,11.6,4.45,LAD
LAD,SP,Gavin Stone,25,9,4,.692,3.34,19,19,0,1,1,0,107.2,106,40,40,11,30,0,82,1,0,6,449,118,3.82,1.263,8.9,0.9,2.5,6.9,2.73,LAD
LAD,SP,James Paxton*,35,8,2,.800,4.43,18,18,0,0,0,0,89.1,82,45,44,11,48,0,64,1,0,4,390,89,4.96,1.455,8.3,1.1,4.8,6.4,1.33,LAD
LAD,SP,Yoshinobu Yamamoto ,25,6,2,.750,2.92,14,14,0,0,0,0,74.0,62,25,24,6,17,0,84,1,0,1,301,135,2.66,1.068,7.5,0.7,2.1,10.2,4.94,LAD
LAD,SP,Landon Knack ,26,2,2,.500,3.07,9,8,0,0,0,0,44.0,33,15,15,9,12,0,42,2,0,0,179,129,4.85,1.023,6.8,1.8,2.5,8.6,3.50,LAD
LAD,SP,Walker Buehler ,29,1,4,.200,5.84,8,8,0,0,0,0,37.0,46,27,24,10,10,0,31,3,0,0,168,68,6.04,1.514,11.2,2.4,2.4,7.5,3.10,LAD
LAD,CL,Evan Phillips,29,2,0,1.000,4.18,36,0,23,0,0,15,32.1,32,18,15,5,11,0,35,0,0,0,138,95,4.01,1.330,8.9,1.4,3.1,9.7,3.18,LAD
LAD,RP,Ryan Yarbrough*,32,4,2,.667,3.74,32,0,10,0,0,1,67.1,52,29,28,9,25,3,39,7,0,0,281,105,5.15,1.144,7.0,1.2,3.3,5.2,1.56,LAD
LAD,RP,Alex Vesia*,28,1,2,.333,1.79,45,0,8,0,0,5,45.1,23,12,9,4,20,2,62,1,0,2,178,222,2.95,0.949,4.6,0.8,4.0,12.3,3.10,LAD
LAD,RP,Daniel Hudson,37,6,1,.857,1.88,44,0,11,0,0,7,43.0,28,13,9,5,10,1,47,1,0,2,167,210,3.24,0.884,5.9,1.0,2.1,9.8,4.70,LAD
LAD,RP,Blake Treinen,36,5,3,.625,2.30,31,0,5,0,0,1,27.1,21,8,7,3,9,0,35,2,0,1,112,173,3.22,1.098,6.9,1.0,3.0,11.5,3.89,LAD
