Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
MIA,C,Nick Fortes,27,74,214,202,14,41,7,0,2,17,0,1,5,27,.203,.230,.267,.497,38,54,4,2,5,0,0,MIA
MIA,1B,Josh Bell#,31,103,436,394,38,94,18,1,14,49,0,0,33,87,.239,.303,.396,.699,92,156,13,5,0,3,1,MIA
MIA,2B,Otto Lopez,25,63,210,196,22,46,8,0,3,19,8,1,8,34,.235,.266,.321,.587,62,63,6,1,2,2,0,MIA
MIA,SS,Tim Anderson,31,65,241,234,16,50,3,0,0,9,4,4,7,68,.214,.237,.226,.463,30,53,6,0,0,0,0,MIA
MIA,3B,Emmanuel Rivera,28,82,184,159,13,34,6,1,0,12,1,0,18,42,.214,.301,.264,.565,59,42,5,3,1,3,0,MIA
MIA,LF,Nick Gordon*,28,89,253,239,28,56,11,1,8,32,5,4,11,61,.234,.265,.389,.654,79,93,5,0,0,3,0,MIA
MIA,CF,Jazz Chisholm Jr.*,26,101,430,386,46,96,14,4,13,50,22,8,39,107,.249,.323,.407,.730,101,157,4,4,0,1,5,MIA
MIA,RF,Jesús Sánchez*,26,95,330,306,33,75,15,1,12,39,7,1,18,80,.245,.295,.418,.713,95,128,8,4,1,1,1,MIA
MIA,DH,Bryan De La Cruz,27,104,449,420,44,102,18,0,18,50,3,1,24,117,.243,.286,.414,.700,91,174,8,2,0,2,1,MIA
MIA,CI,Jake Burger,28,82,338,316,36,74,12,1,13,39,0,1,19,91,.234,.278,.402,.680,86,127,7,1,0,2,0,MIA
MIA,MI,Vidal Bruján#,26,78,211,185,26,42,12,2,1,11,4,3,21,41,.227,.319,.330,.649,81,61,4,4,1,0,3,MIA
MIA,2B,Luis Arráez*,27,33,148,137,22,41,8,1,0,5,0,0,8,11,.299,.347,.372,.719,100,51,5,2,1,0,0,MIA
MIA,SS,Xavier Edwards#,24,24,100,83,12,29,4,0,0,8,8,2,14,16,.349,.434,.398,.832,134,33,0,0,1,2,0,MIA
MIA,RF,Dane Myers ,28,40,95,83,15,22,5,1,2,14,4,1,7,32,.265,.337,.422,.759,109,35,0,3,0,2,0,MIA
MIA,C,Christian Bethancourt,32,38,88,82,9,13,3,0,2,7,0,0,3,22,.159,.198,.268,.466,28,22,1,1,2,0,0,MIA
MIA,RF,Avisaíl García,33,18,51,50,4,12,1,0,2,2,0,0,1,13,.240,.255,.380,.635,73,19,4,0,0,0,0,MIA
MIA,C,Ali Sánchez,27,14,41,35,1,7,0,0,0,1,0,0,2,11,.200,.263,.200,.463,31,7,1,1,3,0,0,MIA
MIA,IF,Jonah Bride,28,14,34,31,2,8,1,0,0,6,0,1,2,8,.258,.294,.290,.584,63,9,2,0,0,1,0,MIA
MIA,3B,Tristan Gray* ,28,7,7,7,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,MIA
MIA,C,Jhonny Pereda ,28,5,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,MIA
