Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
MIA,SP,Trevor Rogers*,26,2,9,.182,4.53,21,21,0,0,0,0,105.1,115,58,53,12,46,2,85,3,1,1,472,96,4.41,1.528,9.8,1.0,3.9,7.3,1.85,MIA
MIA,SP,Ryan Weathers* ,24,3,5,.375,3.55,13,13,0,0,0,0,71.0,61,31,28,8,20,1,67,8,1,2,298,123,3.91,1.141,7.7,1.0,2.5,8.5,3.35,MIA
MIA,SP,Jesús Luzardo* ,26,3,6,.333,5.00,12,12,0,0,0,0,66.2,61,37,37,9,22,0,58,2,0,3,274,87,4.24,1.245,8.2,1.2,3.0,7.8,2.64,MIA
MIA,SP,Roddery Muñoz ,24,1,5,.167,5.61,12,11,0,0,0,0,61.0,55,41,38,18,31,0,50,3,1,4,269,78,7.02,1.410,8.1,2.7,4.6,7.4,1.61,MIA
MIA,SP,Edward Cabrera,26,1,3,.250,7.04,9,9,0,0,0,0,38.1,38,32,30,9,24,0,49,2,0,0,176,62,5.68,1.617,8.9,2.1,5.6,11.5,2.04,MIA
MIA,SP,Braxton Garrett* ,26,2,2,.500,5.35,7,7,0,1,1,0,37.0,40,24,22,5,4,0,34,5,0,1,161,82,3.80,1.189,9.7,1.2,1.0,8.3,8.50,MIA
MIA,CL,Tanner Scott*,29,6,5,.545,1.18,44,0,35,0,0,18,45.2,19,10,6,2,27,2,53,1,0,0,182,369,3.23,1.007,3.7,0.4,5.3,10.4,1.96,MIA
MIA,RP,Declan Cronin,26,2,2,.500,3.40,35,0,7,0,0,0,50.1,52,22,19,0,17,2,54,3,0,1,216,128,2.19,1.371,9.3,0.0,3.0,9.7,3.18,MIA
MIA,RP,Anthony Bender,29,4,2,.667,3.83,45,0,9,0,0,0,40.0,38,18,17,2,12,1,42,4,0,1,172,114,2.90,1.250,8.6,0.5,2.7,9.5,3.50,MIA
MIA,RP,Andrew Nardi*,25,2,1,.667,5.03,48,0,2,0,0,0,39.1,37,23,22,5,11,1,51,1,0,1,165,87,3.12,1.220,8.5,1.1,2.5,11.7,4.64,MIA
MIA,RP,Calvin Faucher,28,2,2,.500,3.03,38,0,6,0,0,0,38.2,37,19,13,0,19,2,42,2,0,5,169,145,2.60,1.448,8.6,0.0,4.4,9.8,2.21,MIA
