Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
MIL,C,William Contreras,26,100,451,406,66,117,26,1,11,57,5,1,41,88,.288,.355,.438,.793,120,178,14,2,0,2,1,MIL
MIL,1B,Rhys Hoskins,31,80,320,279,33,60,9,0,17,52,2,0,31,87,.215,.304,.430,.734,102,120,9,6,0,3,1,MIL
MIL,2B,Brice Turang*,24,100,405,364,47,96,16,2,6,43,31,5,34,70,.264,.327,.368,.695,93,134,6,1,4,2,0,MIL
MIL,SS,Willy Adames,28,104,452,397,55,98,24,0,16,68,12,3,51,103,.247,.332,.428,.760,110,170,11,1,0,3,2,MIL
MIL,3B,Joey Ortiz,25,84,299,254,36,63,14,2,7,30,6,4,39,50,.248,.349,.402,.751,109,102,3,2,1,3,0,MIL
MIL,LF,Christian Yelich* ,32,73,315,270,44,85,12,3,11,42,21,1,40,58,.315,.406,.504,.909,152,136,3,2,1,1,3,MIL
MIL,CF,Blake Perkins#,27,81,297,265,40,67,7,2,6,28,14,3,28,79,.253,.330,.362,.692,93,96,3,3,0,1,0,MIL
MIL,RF,Jackson Chourio,20,91,325,301,44,78,14,0,10,41,12,4,21,71,.259,.306,.405,.711,96,122,4,0,1,2,1,MIL
MIL,DH,Gary Sánchez,31,53,167,149,18,32,6,0,7,22,0,0,12,47,.215,.287,.396,.683,88,59,4,4,0,2,0,MIL
MIL,OF,Sal Frelick*,24,93,350,311,45,82,14,2,2,20,14,3,32,57,.264,.338,.341,.679,90,106,4,3,1,0,0,MIL
MIL,1B,Jake Bauers*,28,75,227,196,28,43,9,1,7,33,7,1,26,72,.219,.326,.383,.709,97,75,0,5,0,0,1,MIL
MIL,3B,Oliver Dunn* ,26,41,104,95,11,21,2,2,1,7,3,0,6,40,.221,.282,.316,.597,66,30,1,2,1,0,0,MIL
MIL,IF,Andruw Monasterio,27,36,92,82,10,16,3,0,1,10,5,1,9,24,.195,.283,.268,.551,55,22,1,1,0,0,0,MIL
MIL,OF,Garrett Mitchell*,25,17,56,49,4,12,3,0,1,4,2,0,7,15,.245,.339,.367,.707,97,18,1,0,0,0,0,MIL
MIL,1B,Tyler Black* ,23,12,38,34,2,8,2,0,0,1,3,0,4,12,.235,.316,.294,.610,72,10,0,0,0,0,0,MIL
MIL,OF,Joey Wiemer ,25,19,27,26,2,4,0,0,0,0,1,1,1,9,.154,.185,.154,.339,-4,4,0,0,0,0,0,MIL
MIL,IF,Owen Miller,27,14,27,27,2,5,1,0,0,3,0,0,0,8,.185,.185,.222,.407,13,6,1,0,0,0,0,MIL
MIL,C,Eric Haase,31,8,25,23,4,10,0,0,3,8,0,0,2,10,.435,.480,.826,1.306,255,19,0,0,0,0,0,MIL
MIL,IF,Vinny Capra ,27,3,9,9,1,1,1,0,0,0,0,0,0,3,.111,.111,.222,.333,-10,2,1,0,0,0,0,MIL
MIL,CF,Chris Roller,27,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,MIL
