Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
MIN,C,Christian Vázquez,33,59,203,188,16,39,6,0,5,18,3,1,7,43,.207,.236,.319,.555,56,60,9,1,4,3,0,MIN
MIN,1B,Carlos Santana#,38,96,376,333,37,82,20,0,14,46,3,0,38,62,.246,.332,.432,.765,115,144,7,5,0,0,2,MIN
MIN,2B,Edouard Julien* ,25,63,209,181,25,37,6,0,7,17,6,0,27,74,.204,.311,.354,.665,88,64,1,1,0,0,0,MIN
MIN,SS,Carlos Correa ,29,75,317,279,51,86,16,2,13,47,0,0,30,53,.308,.377,.520,.896,151,145,5,3,0,4,2,MIN
MIN,3B,José Miranda,26,77,280,259,35,84,21,1,9,43,2,1,14,38,.324,.364,.517,.882,146,134,8,4,0,3,1,MIN
MIN,LF,Manuel Margot,29,90,230,209,29,49,9,1,3,25,4,0,16,36,.234,.296,.330,.626,77,69,4,3,0,2,0,MIN
MIN,CF,Byron Buxton,30,79,296,272,46,75,21,3,12,42,6,2,13,79,.276,.328,.507,.835,132,138,3,9,0,2,1,MIN
MIN,RF,Max Kepler*,31,78,298,271,37,71,17,1,6,35,1,0,19,56,.262,.316,.399,.715,101,108,2,4,0,3,0,MIN
MIN,DH,Trevor Larnach*,27,66,238,212,29,52,9,0,11,33,2,0,22,48,.245,.319,.443,.763,113,94,11,2,0,2,0,MIN
MIN,UT,Willi Castro#,27,103,420,368,58,95,24,5,7,34,10,7,36,100,.258,.348,.408,.755,113,150,5,15,0,1,0,MIN
MIN,C,Ryan Jeffers,27,81,318,277,37,64,18,0,14,47,2,0,23,64,.231,.315,.448,.763,113,124,7,13,1,4,0,MIN
MIN,UT,Alex Kirilloff* ,26,57,178,159,20,32,8,3,5,20,0,0,15,47,.201,.270,.384,.653,82,61,5,1,0,3,0,MIN
MIN,IF,Kyle Farmer ,33,63,151,132,15,25,10,0,0,15,3,5,13,31,.189,.291,.265,.557,60,35,4,6,0,0,1,MIN
MIN,OF,Austin Martin,25,53,138,125,28,30,9,0,1,9,6,2,12,27,.240,.307,.336,.643,82,42,2,0,1,0,0,MIN
MIN,3B,Royce Lewis,25,26,108,98,19,29,6,0,11,20,0,0,9,19,.296,.352,.694,1.046,186,68,2,0,0,1,1,MIN
MIN,IF,Brooks Lee#,23,18,80,73,7,19,1,0,2,11,1,0,6,11,.260,.313,.356,.669,89,26,3,0,0,1,0,MIN
MIN,OF,Matt Wallner*,26,25,74,59,7,14,4,0,5,10,0,0,8,33,.237,.378,.559,.938,161,33,0,6,0,1,0,MIN
MIN,3B,Diego Castillo,26,4,8,6,3,2,1,0,0,2,0,0,2,1,.333,.500,.500,1.000,185,3,0,0,0,0,0,MIN
MIN,DH,Jair Camargo ,24,5,7,6,1,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-54,0,0,0,0,0,0,MIN
