Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
MIN,SP,Joe Ryan,28,6,7,.462,3.69,21,21,0,0,0,0,126.2,107,56,52,17,20,0,138,5,1,2,507,111,3.30,1.003,7.6,1.2,1.4,9.8,6.90,MIN
MIN,SP,Pablo López,28,9,7,.563,4.73,21,21,0,0,0,0,118.0,110,63,62,19,25,0,135,4,0,1,487,87,3.69,1.144,8.4,1.4,1.9,10.3,5.40,MIN
MIN,SP,Bailey Ober,28,9,5,.643,4.04,19,19,0,1,0,0,107.0,88,50,48,17,25,0,110,3,0,0,425,101,3.94,1.056,7.4,1.4,2.1,9.3,4.40,MIN
MIN,SP,Chris Paddack ,28,5,3,.625,4.99,17,17,0,0,0,0,88.1,102,50,49,14,21,0,79,1,0,3,384,82,4.17,1.392,10.4,1.4,2.1,8.0,3.76,MIN
MIN,SP,Simeon Woods Richardson,23,3,1,.750,3.27,17,17,0,0,0,0,88.0,73,33,32,8,25,0,76,3,0,2,360,125,3.56,1.114,7.5,0.8,2.6,7.8,3.04,MIN
MIN,CL,Jhoan Durán,26,6,5,.545,3.51,36,0,24,0,0,15,33.1,22,17,13,4,12,2,32,3,1,1,133,118,4.14,1.020,5.9,1.1,3.2,8.6,2.67,MIN
MIN,RP,Cole Sands,26,4,1,.800,3.30,39,0,10,0,0,3,46.1,36,20,17,4,7,0,55,5,1,2,189,125,2.67,0.928,7.0,0.8,1.4,10.7,7.86,MIN
MIN,RP,Griffin Jax,29,3,4,.429,2.18,47,0,12,0,0,7,45.1,30,13,11,3,12,1,59,1,0,3,180,188,2.26,0.926,6.0,0.6,2.4,11.7,4.92,MIN
MIN,RP,Jorge Alcalá,28,2,3,.400,1.67,34,0,4,0,0,0,37.2,21,9,7,1,15,1,36,3,0,3,150,246,3.01,0.956,5.0,0.2,3.6,8.6,2.40,MIN
MIN,RP,Steven Okert*,32,3,1,.750,4.60,36,1,5,0,0,1,29.1,31,17,15,4,13,3,28,2,0,2,133,90,4.54,1.500,9.5,1.2,4.0,8.6,2.15,MIN
