Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
NYM,C,Francisco Alvarez,22,51,184,165,19,45,12,1,5,25,1,0,17,43,.273,.342,.448,.791,127,74,6,1,0,1,0,NYM
NYM,1B,Pete Alonso,29,104,450,398,57,96,24,0,20,53,2,0,43,91,.241,.324,.452,.777,122,180,12,7,0,2,4,NYM
NYM,2B,Jeff McNeil*,32,97,356,327,43,76,18,0,9,33,5,1,23,45,.232,.287,.370,.657,89,121,4,3,1,2,0,NYM
NYM,SS,Francisco Lindor#,30,104,475,421,70,107,27,0,22,62,20,3,40,79,.254,.333,.475,.808,131,200,5,11,0,3,0,NYM
NYM,3B,Mark Vientos,24,59,231,210,31,60,12,0,14,38,0,0,18,60,.286,.342,.543,.885,151,114,2,1,0,2,0,NYM
NYM,LF,Brandon Nimmo*,31,98,438,371,61,87,18,2,16,63,9,0,56,112,.235,.352,.423,.775,123,157,4,11,0,0,1,NYM
NYM,CF,Harrison Bader,30,89,302,281,40,74,15,0,8,36,14,8,13,66,.263,.301,.402,.703,102,113,5,4,0,4,1,NYM
NYM,RF,Starling Marte ,35,66,266,245,38,68,9,2,7,30,12,0,17,56,.278,.328,.416,.745,114,102,6,2,1,1,0,NYM
NYM,DH,J.D. Martinez,36,75,317,279,30,73,16,1,11,44,0,0,30,92,.262,.341,.444,.785,125,124,9,4,0,1,0,NYM
NYM,OF,Tyrone Taylor,30,80,223,208,32,47,10,3,6,25,6,2,10,51,.226,.270,.389,.660,88,81,4,3,1,1,0,NYM
NYM,DH,DJ Stewart*,30,71,187,151,15,26,4,0,5,19,1,0,31,45,.172,.326,.298,.624,83,45,5,4,0,1,0,NYM
NYM,3B,Brett Baty* ,24,50,171,153,15,35,3,0,4,16,0,0,16,42,.229,.306,.327,.633,84,50,3,1,1,0,1,NYM
NYM,2B,Jose Iglesias,34,39,116,107,18,38,8,1,3,17,2,1,6,12,.355,.405,.533,.938,169,57,1,3,0,0,1,NYM
NYM,C,Tomás Nido,30,32,90,83,9,19,2,0,3,8,0,0,4,20,.229,.261,.361,.623,78,30,0,0,2,1,0,NYM
NYM,C,Omar Narváez*,32,28,69,65,4,10,2,0,0,5,0,0,3,12,.154,.191,.185,.376,10,12,2,0,1,0,0,NYM
NYM,C,Luis Torrens,28,21,67,61,11,17,5,0,3,10,0,1,4,14,.279,.328,.508,.837,138,31,1,1,0,1,0,NYM
NYM,IF,Joey Wendle*,34,18,37,36,3,8,1,0,0,1,1,0,1,9,.222,.243,.250,.493,43,9,0,0,0,0,0,NYM
NYM,OF,Ben Gamel*,32,11,12,9,6,1,1,0,0,0,1,0,3,4,.111,.333,.222,.556,66,2,0,0,0,0,0,NYM
NYM,3B,Zack Short,29,10,12,9,2,1,0,0,0,0,0,1,2,4,.111,.273,.111,.384,17,1,0,0,1,0,0,NYM
