Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
NYM,SP,Luis Severino,30,7,3,.700,3.58,20,20,0,0,0,0,120.2,103,54,48,12,42,0,94,9,2,4,504,109,4.15,1.202,7.7,0.9,3.1,7.0,2.24,NYM
NYM,SP,Jose Quintana*,35,5,6,.455,4.02,20,20,0,0,0,0,107.1,98,49,48,18,39,0,85,8,0,3,458,97,5.06,1.276,8.2,1.5,3.3,7.1,2.18,NYM
NYM,SP,Sean Manaea*,32,6,4,.600,3.74,20,20,0,0,0,0,106.0,88,48,44,12,45,0,101,6,0,1,446,104,4.16,1.255,7.5,1.0,3.8,8.6,2.24,NYM
NYM,SP,David Peterson*,28,5,0,1.000,3.14,9,9,0,0,0,0,48.2,49,18,17,5,23,0,36,6,0,0,214,125,4.79,1.479,9.1,0.9,4.3,6.7,1.57,NYM
NYM,SP,Christian Scott ,25,0,3,.000,4.56,9,9,0,0,0,0,47.1,45,24,24,8,12,0,39,2,0,0,197,86,4.58,1.204,8.6,1.5,2.3,7.4,3.25,NYM
NYM,SP,Tylor Megill,28,2,5,.286,5.20,9,9,0,0,0,0,45.0,42,29,26,6,21,0,53,3,0,1,200,75,4.12,1.400,8.4,1.2,4.2,10.6,2.52,NYM
NYM,CL,Edwin Díaz,30,3,1,.750,3.94,30,0,18,0,0,12,29.2,23,15,13,5,12,0,41,2,0,3,122,100,3.99,1.180,7.0,1.5,3.6,12.4,3.42,NYM
NYM,RP,Reed Garrett ,31,7,3,.700,3.64,36,0,12,0,0,4,42.0,38,21,17,6,22,1,63,2,0,3,184,108,3.72,1.429,8.1,1.3,4.7,13.5,2.86,NYM
NYM,RP,Adam Ottavino,38,2,2,.500,4.78,40,0,3,0,0,1,37.2,34,22,20,4,13,0,49,6,0,3,165,82,3.44,1.248,8.1,1.0,3.1,11.7,3.77,NYM
NYM,RP,Jake Diekman*,37,2,3,.400,5.23,42,0,10,0,0,4,31.0,21,22,18,6,24,0,38,4,0,2,140,75,5.92,1.452,6.1,1.7,7.0,11.0,1.58,NYM
NYM,RP,Jorge López,31,1,2,.333,3.76,28,0,8,0,0,2,26.1,25,13,11,3,11,1,19,2,0,2,111,105,4.67,1.367,8.5,1.0,3.8,6.5,1.73,NYM
