Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
NYY,C,Austin Wells*,24,69,229,191,28,45,9,0,8,24,1,0,31,43,.236,.342,.408,.750,111,78,3,2,1,4,0,NYY
NYY,1B,Anthony Rizzo* ,34,70,291,264,32,59,7,0,8,28,0,0,19,48,.223,.289,.341,.630,77,90,6,6,0,2,0,NYY
NYY,2B,Gleyber Torres,27,100,412,364,45,86,18,0,10,39,4,3,38,94,.236,.310,.368,.678,91,134,6,3,2,5,0,NYY
NYY,SS,Anthony Volpe,23,105,474,437,66,110,19,7,8,37,18,5,30,101,.252,.304,.382,.686,92,167,7,3,2,1,0,NYY
NYY,3B,Oswaldo Cabrera#,25,80,256,236,35,58,7,0,6,30,3,2,15,50,.246,.290,.352,.642,80,83,5,1,1,3,0,NYY
NYY,LF,Alex Verdugo*,28,102,428,387,45,91,21,1,10,48,1,1,32,67,.235,.290,.372,.662,85,144,10,1,1,7,0,NYY
NYY,CF,Aaron Judge,32,104,462,370,80,116,25,1,37,95,5,0,82,112,.314,.445,.686,1.131,213,254,15,7,0,2,7,NYY
NYY,RF,Juan Soto*,25,102,466,376,86,116,20,4,27,74,5,2,84,73,.309,.433,.598,1.032,187,225,7,2,0,4,0,NYY
NYY,DH,Giancarlo Stanton ,34,69,281,260,34,64,10,0,18,45,0,0,20,90,.246,.302,.492,.795,119,128,9,1,0,0,0,NYY
NYY,C,Jose Trevino ,31,59,186,168,22,41,4,0,8,27,0,0,13,32,.244,.303,.411,.713,99,69,11,2,1,2,0,NYY
NYY,CF,Trent Grisham*,27,58,161,136,17,26,7,0,6,21,1,1,19,41,.191,.300,.375,.675,89,51,5,3,0,2,1,NYY
NYY,3B,DJ LeMahieu,35,44,156,136,12,24,3,0,1,12,0,1,17,26,.176,.271,.221,.492,41,30,10,1,1,1,0,NYY
NYY,1B,Ben Rice*,25,32,123,104,12,20,5,0,6,20,0,1,15,33,.192,.293,.413,.706,96,43,1,1,0,3,0,NYY
NYY,3B,Jon Berti ,34,17,60,55,6,15,0,0,1,6,4,1,4,13,.273,.322,.327,.649,84,18,1,0,1,0,0,NYY
NYY,UT,Jahmai Jones,26,33,47,42,8,10,1,1,1,4,1,1,2,16,.238,.304,.381,.685,92,16,0,2,1,0,0,NYY
NYY,1B,J.D. Davis,31,7,22,19,1,2,1,0,0,1,0,0,3,9,.105,.227,.158,.385,12,3,2,0,0,0,0,NYY
NYY,C,Carlos Narváez,25,2,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,90,1,0,0,0,0,0,NYY
NYY,OF,Taylor Trammell*,26,5,2,1,2,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,468,1,0,0,0,0,0,NYY
