Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
NYY,SP,Nestor Cortes*,29,4,9,.308,4.13,22,22,0,0,0,0,124.1,124,58,57,19,26,0,116,4,1,1,516,99,3.99,1.206,9.0,1.4,1.9,8.4,4.46,NYY
NYY,SP,Carlos Rodón*,31,10,7,.588,4.42,21,21,0,0,0,0,114.0,106,58,56,21,35,0,122,9,1,2,484,93,4.56,1.237,8.4,1.7,2.8,9.6,3.49,NYY
NYY,SP,Marcus Stroman,33,7,5,.583,3.64,21,21,0,0,0,0,113.2,106,53,46,18,48,0,83,8,0,1,486,112,5.22,1.355,8.4,1.4,3.8,6.6,1.73,NYY
NYY,SP,Luis Gil,26,10,5,.667,3.10,20,20,0,0,0,0,107.1,66,38,37,9,50,0,124,7,2,3,440,132,3.52,1.081,5.5,0.8,4.2,10.4,2.48,NYY
NYY,SP,Clarke Schmidt ,28,5,3,.625,2.52,11,11,0,0,0,0,60.2,49,19,17,6,20,0,67,6,0,1,247,163,3.51,1.137,7.3,0.9,3.0,9.9,3.35,NYY
NYY,SP,Gerrit Cole,33,3,2,.600,5.40,7,7,0,0,0,0,35.0,39,21,21,9,12,0,38,2,0,0,155,76,5.52,1.457,10.0,2.3,3.1,9.8,3.17,NYY
NYY,CL,Clay Holmes,31,2,4,.333,2.74,43,0,36,0,0,21,42.2,43,20,13,2,11,0,45,3,0,3,184,150,2.63,1.266,9.1,0.4,2.3,9.5,4.09,NYY
NYY,RP,Luke Weaver,30,4,2,.667,2.91,39,0,5,0,0,0,58.2,36,19,19,8,16,0,65,4,0,0,230,141,3.73,0.886,5.5,1.2,2.5,10.0,4.06,NYY
NYY,RP,Michael Tonkin,34,2,2,.500,2.48,30,0,11,0,0,1,40.0,25,15,11,4,16,0,41,2,1,0,162,166,3.75,1.025,5.6,0.9,3.6,9.2,2.56,NYY
NYY,RP,Caleb Ferguson*,27,1,3,.250,5.34,41,0,11,0,0,1,32.0,33,24,19,5,15,1,39,2,0,2,148,77,4.33,1.500,9.3,1.4,4.2,11.0,2.60,NYY
NYY,RP,Ian Hamilton ,29,0,1,.000,4.55,27,0,3,0,0,0,29.2,33,16,15,1,14,0,30,3,0,0,136,91,3.28,1.584,10.0,0.3,4.2,9.1,2.14,NYY
