Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
OAK,C,Shea Langeliers,26,90,345,314,39,67,11,2,20,56,4,2,24,98,.213,.272,.452,.725,105,142,10,3,0,4,2,OAK
OAK,1B,Tyler Soderstrom* ,22,49,166,146,12,32,6,0,7,20,0,0,16,45,.219,.307,.404,.711,104,59,7,3,0,1,1,OAK
OAK,2B,Zack Gelof,24,85,340,309,38,59,9,2,13,35,12,1,23,119,.191,.254,.359,.614,75,111,4,4,2,2,0,OAK
OAK,SS,Max Schuemann,27,83,288,247,45,64,9,0,6,26,10,1,32,74,.259,.347,.368,.716,108,91,5,3,3,3,0,OAK
OAK,3B,Abraham Toro#,27,79,316,296,32,75,15,1,6,25,4,2,13,56,.253,.296,.372,.668,92,110,3,5,2,0,1,OAK
OAK,LF,Miguel Andujar,29,53,226,216,25,63,12,0,4,26,2,1,8,32,.292,.319,.403,.721,107,87,8,1,0,1,0,OAK
OAK,CF,JJ Bleday*,26,105,422,377,46,88,30,4,12,36,0,1,43,80,.233,.314,.430,.743,113,162,7,1,1,0,2,OAK
OAK,RF,Lawrence Butler*,23,73,234,211,30,54,12,2,11,34,8,0,22,62,.256,.325,.488,.813,131,103,3,0,0,1,0,OAK
OAK,DH,Brent Rooker,29,92,382,337,51,99,19,2,25,72,7,1,39,116,.294,.369,.585,.954,170,197,2,3,0,3,2,OAK
OAK,OF,Seth Brown*,31,76,235,216,20,48,8,0,9,23,4,1,18,74,.222,.285,.384,.669,92,83,2,1,0,0,0,OAK
OAK,UT,Tyler Nevin,27,57,193,167,17,34,6,0,6,15,1,0,19,43,.204,.301,.347,.648,87,58,4,5,0,2,0,OAK
OAK,CI,J.D. Davis,31,39,135,123,12,29,4,0,4,5,0,0,9,30,.236,.304,.366,.670,93,45,3,3,0,0,0,OAK
OAK,3B,Brett Harris,26,35,119,99,15,15,3,0,3,12,0,3,17,24,.152,.286,.273,.558,63,27,3,2,0,1,0,OAK
OAK,C,Kyle McCann*,26,38,112,98,12,28,3,0,4,11,0,0,14,39,.286,.375,.439,.814,135,43,2,0,0,0,1,OAK
OAK,1B,Ryan Noda* ,28,30,100,86,7,11,3,0,1,2,0,0,12,32,.128,.242,.198,.440,30,17,0,1,1,0,0,OAK
OAK,OF,Daz Cameron,27,32,94,83,12,15,2,0,4,8,2,0,10,20,.181,.277,.349,.626,80,29,2,1,0,0,0,OAK
OAK,SS,Nick Allen ,25,28,77,70,4,12,2,0,1,3,0,0,5,19,.171,.227,.243,.470,36,17,0,0,2,0,0,OAK
OAK,IF,Darell Hernaiz ,22,29,75,66,7,12,0,0,0,6,1,0,6,16,.182,.243,.182,.425,26,12,2,0,1,2,0,OAK
OAK,OF,Esteury Ruiz ,25,29,65,55,10,11,2,1,2,8,5,4,4,20,.200,.270,.382,.652,86,21,1,2,2,2,0,OAK
OAK,UT,Aledmys Díaz,33,12,30,29,2,3,0,0,0,1,0,0,1,7,.103,.133,.103,.237,-30,3,0,0,0,0,0,OAK
OAK,IF,Armando Alvarez ,29,7,25,23,6,6,1,0,0,1,1,0,2,3,.261,.320,.304,.624,83,7,1,0,0,0,0,OAK
OAK,SS,Jacob Wilson ,22,1,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,484,1,0,0,0,0,0,OAK
