Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
OAK,SP,JP Sears*,28,7,8,.467,4.81,21,21,0,0,0,0,112.1,113,63,60,17,32,0,83,12,0,0,484,83,4.81,1.291,9.1,1.4,2.6,6.6,2.59,OAK
OAK,SP,Mitch Spence,26,7,6,.538,4.47,24,13,2,0,0,0,94.2,95,49,47,13,28,0,78,2,1,6,398,89,4.24,1.299,9.0,1.2,2.7,7.4,2.79,OAK
OAK,SP,Joey Estes,22,4,4,.500,4.92,14,13,0,1,1,0,71.1,70,40,39,9,19,1,53,6,0,3,302,81,4.35,1.248,8.8,1.1,2.4,6.7,2.79,OAK
OAK,SP,Ross Stripling,34,2,9,.182,6.02,12,12,0,0,0,0,61.1,83,49,41,6,14,2,38,1,1,2,276,66,3.91,1.582,12.2,0.9,2.1,5.6,2.71,OAK
OAK,SP,Hogan Harris* ,27,2,3,.400,2.98,11,9,0,0,0,0,54.1,53,23,18,6,25,0,42,2,1,1,233,134,4.53,1.436,8.8,1.0,4.1,7.0,1.68,OAK
OAK,SP,Paul Blackburn,30,4,2,.667,4.41,9,9,0,0,0,0,51.0,45,25,25,8,14,0,38,1,0,0,208,90,4.58,1.157,7.9,1.4,2.5,6.7,2.71,OAK
OAK,CL,Mason Miller ,25,1,1,.500,2.21,34,0,28,0,0,15,40.2,20,13,10,3,14,3,70,0,0,1,153,181,1.70,0.836,4.4,0.7,3.1,15.5,5.00,OAK
OAK,RP,T.J. McFarland*,35,1,1,.500,4.31,51,0,11,0,0,0,39.2,41,20,19,4,11,4,28,2,0,0,167,93,4.03,1.311,9.3,0.9,2.5,6.4,2.55,OAK
OAK,RP,Lucas Erceg,29,2,3,.400,3.68,38,0,4,0,0,3,36.2,31,17,15,3,13,2,41,5,0,4,156,109,3.45,1.200,7.6,0.7,3.2,10.1,3.15,OAK
OAK,RP,Austin Adams,33,0,2,.000,4.21,50,0,5,0,0,0,36.1,35,19,17,3,22,2,46,12,0,5,171,95,4.50,1.569,8.7,0.7,5.4,11.4,2.09,OAK
OAK,RP,Michael Kelly,31,3,2,.600,2.59,28,0,13,0,0,0,31.1,27,11,9,2,10,1,22,3,0,1,128,155,3.82,1.181,7.8,0.6,2.9,6.3,2.20,OAK
