Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
PHI,C,J.T. Realmuto,33,56,243,224,30,56,8,1,7,20,1,2,15,62,.250,.305,.388,.693,95,87,3,3,0,1,0,PHI
PHI,1B,Bryce Harper*,31,89,392,337,61,97,22,0,24,67,5,3,53,81,.288,.383,.567,.949,165,191,11,0,0,2,8,PHI
PHI,2B,Bryson Stott*,26,96,375,325,45,78,12,2,7,43,23,2,40,61,.240,.323,.354,.677,92,115,7,3,0,7,1,PHI
PHI,SS,Trea Turner,31,65,292,271,55,90,14,0,13,36,13,1,16,57,.332,.380,.528,.908,154,143,2,5,0,0,0,PHI
PHI,3B,Alec Bohm,27,102,435,391,45,116,36,1,11,71,4,2,33,63,.297,.354,.478,.832,133,187,11,5,0,6,2,PHI
PHI,LF,Brandon Marsh*,26,82,290,255,34,64,10,2,10,38,12,3,31,95,.251,.328,.424,.751,111,108,2,0,0,4,0,PHI
PHI,CF,Johan Rojas,23,79,254,237,29,55,4,1,3,23,17,3,9,48,.232,.269,.295,.564,60,70,4,3,5,0,0,PHI
PHI,RF,Nick Castellanos,32,104,432,399,48,97,20,2,15,54,3,2,27,95,.243,.296,.416,.712,99,166,11,4,0,2,1,PHI
PHI,DH,Kyle Schwarber*,31,93,430,351,67,86,11,0,20,60,4,2,70,118,.245,.370,.447,.817,130,157,3,3,0,6,2,PHI
PHI,SS,Edmundo Sosa,28,60,196,178,28,49,9,4,5,22,5,1,10,46,.275,.333,.455,.788,121,81,1,6,0,1,0,PHI
PHI,UT,Whit Merrifield,35,53,174,156,21,31,4,1,3,11,11,1,15,19,.199,.277,.295,.572,63,46,2,2,1,0,0,PHI
PHI,C,Garrett Stubbs*,31,39,133,117,12,23,2,0,1,7,5,0,13,35,.197,.288,.239,.527,52,28,0,2,0,0,0,PHI
PHI,OF,Cristian Pache,25,50,118,104,9,21,5,1,0,9,0,0,13,43,.202,.288,.269,.557,60,28,1,0,0,1,0,PHI
PHI,IF,Kody Clemens*,28,24,65,62,8,15,5,1,3,10,0,0,3,15,.242,.277,.500,.777,114,31,2,0,0,0,0,PHI
PHI,OF,David Dahl*,30,19,62,58,6,12,2,0,3,8,0,0,3,21,.207,.242,.397,.638,77,23,0,0,0,1,0,PHI
PHI,C,Rafael Marchán# ,25,17,56,51,8,15,4,0,3,6,0,0,3,8,.294,.345,.549,.894,148,28,1,1,1,0,0,PHI
PHI,UT,Weston Wilson,29,10,26,24,2,5,0,0,1,3,1,0,1,4,.208,.231,.333,.564,57,8,0,0,0,1,0,PHI
PHI,LF,Austin Hays,28,1,4,4,1,1,0,0,0,0,1,0,0,1,.250,.250,.250,.500,43,1,0,0,0,0,0,PHI
