Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
PIT,C,Yasmani Grandal#,35,45,142,135,10,25,7,0,3,17,1,0,5,23,.185,.213,.304,.516,45,41,6,0,1,1,0,PIT
PIT,1B,Rowdy Tellez*,29,87,276,250,29,62,10,0,9,36,1,0,19,56,.248,.301,.396,.697,97,99,9,2,0,5,0,PIT
PIT,2B,Nick Gonzales,25,65,267,248,28,64,13,2,5,39,3,1,11,57,.258,.293,.387,.680,93,96,3,3,1,4,1,PIT
PIT,SS,Oneil Cruz*,25,93,378,349,47,88,21,2,16,52,9,1,26,121,.252,.304,.461,.766,115,161,4,1,0,2,3,PIT
PIT,3B,Ke'Bryan Hayes,27,79,325,298,32,72,9,0,3,21,8,2,19,58,.242,.292,.302,.594,71,90,10,4,0,4,0,PIT
PIT,LF,Bryan Reynolds# ,29,101,450,406,49,117,20,3,18,61,5,0,37,94,.288,.353,.485,.839,137,197,4,5,0,2,1,PIT
PIT,CF,Michael A. Taylor,33,78,208,183,24,37,6,1,2,14,8,1,17,73,.202,.265,.279,.543,56,51,2,0,4,4,0,PIT
PIT,RF,Edward Olivares ,28,55,196,174,22,39,4,0,5,23,1,0,16,37,.224,.291,.333,.624,78,58,3,2,0,4,0,PIT
PIT,DH,Andrew McCutchen,37,89,385,335,53,75,13,1,13,28,3,2,45,100,.224,.325,.385,.710,102,129,7,5,0,0,1,PIT
PIT,UT,Connor Joe,31,89,323,286,41,68,18,1,7,31,2,1,30,62,.238,.322,.381,.703,100,109,7,6,0,1,1,PIT
PIT,OF,Jack Suwinski*,25,87,275,245,29,45,8,0,9,26,9,1,27,77,.184,.266,.327,.593,69,80,3,1,1,1,2,PIT
PIT,IF,Jared Triolo,26,76,274,243,20,49,5,0,4,25,4,1,25,73,.202,.277,.272,.549,58,66,4,2,0,4,0,PIT
PIT,C,Joey Bart,27,39,125,109,14,26,4,0,6,21,0,0,13,34,.239,.328,.440,.768,117,48,4,2,0,1,0,PIT
PIT,C,Henry Davis ,24,29,102,85,9,13,4,0,1,5,0,0,13,40,.153,.267,.235,.503,46,20,1,1,0,2,0,PIT
PIT,MI,Alika Williams ,25,23,68,62,8,13,1,2,0,2,1,0,2,14,.210,.234,.290,.525,49,18,0,0,4,0,0,PIT
PIT,OF,Joshua Palacios*,28,18,62,54,8,14,1,0,2,7,0,0,7,7,.259,.355,.389,.744,113,21,1,1,0,0,0,PIT
PIT,OF,Ji Hwan Bae*,24,9,30,27,5,5,0,0,0,3,2,1,2,8,.185,.233,.185,.419,22,5,0,0,0,1,0,PIT
PIT,C,Jason Delay ,29,7,19,15,1,3,3,0,0,6,0,0,3,0,.200,.333,.400,.733,109,6,0,0,1,0,0,PIT
PIT,C,Grant Koch ,27,3,8,7,1,0,0,0,0,0,0,0,1,6,.000,.125,.000,.125,-60,0,0,0,0,0,0,PIT
