Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
PIT,SP,Mitch Keller,28,10,5,.667,3.34,20,20,0,1,0,0,121.1,119,49,45,13,32,0,108,12,1,0,519,120,3.85,1.245,8.8,1.0,2.4,8.0,3.38,PIT
PIT,SP,Jared Jones ,22,5,6,.455,3.56,16,16,0,0,0,0,91.0,74,40,36,12,27,0,98,4,0,3,371,113,3.73,1.110,7.3,1.2,2.7,9.7,3.63,PIT
PIT,SP,Bailey Falter* ,27,4,7,.364,4.08,17,17,0,0,0,0,90.1,80,42,41,12,28,0,61,0,0,0,365,99,4.45,1.196,8.0,1.2,2.8,6.1,2.18,PIT
PIT,SP,Martín Pérez*,33,2,5,.286,5.20,16,16,0,0,0,0,83.0,105,51,48,13,32,0,63,3,1,2,373,77,4.93,1.651,11.4,1.4,3.5,6.8,1.97,PIT
PIT,SP,Paul Skenes,22,6,1,.857,1.93,12,12,0,0,0,0,74.2,52,16,16,8,13,0,97,3,0,1,284,209,2.58,0.871,6.3,1.0,1.6,11.7,7.46,PIT
PIT,CL,David Bednar,29,3,3,.500,4.98,37,0,31,0,0,18,34.1,30,20,19,6,7,0,35,2,0,2,145,81,4.17,1.078,7.9,1.6,1.8,9.2,5.00,PIT
PIT,RP,Aroldis Chapman*,36,2,4,.333,3.82,43,0,7,0,0,4,37.2,24,21,16,4,34,0,60,1,1,4,168,106,4.13,1.540,5.7,1.0,8.1,14.3,1.76,PIT
PIT,RP,Colin Holderman,28,3,1,.750,1.67,39,0,2,0,0,0,37.2,28,10,7,2,18,0,46,2,0,1,160,242,2.99,1.221,6.7,0.5,4.3,11.0,2.56,PIT
PIT,RP,Kyle Nicolas,25,1,2,.333,3.48,30,0,17,0,0,0,33.2,26,18,13,1,19,1,39,2,1,4,146,117,3.09,1.337,7.0,0.3,5.1,10.4,2.05,PIT
PIT,RP,Hunter Stratton,27,2,1,.667,4.26,29,0,6,0,0,1,31.2,30,17,15,3,5,0,30,2,0,1,131,95,3.15,1.105,8.5,0.9,1.4,8.5,6.00,PIT
