Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
SDP,C,Luis Campusano,25,73,239,224,27,53,13,0,6,35,0,0,14,30,.237,.280,.375,.655,84,84,10,0,0,1,0,SDP
SDP,1B,Jake Cronenworth*,30,102,438,391,52,98,19,2,14,60,2,2,33,80,.251,.318,.417,.735,107,163,13,7,1,3,0,SDP
SDP,2B,Xander Bogaerts,31,57,243,228,29,62,9,1,4,17,5,0,14,42,.272,.313,.373,.686,94,85,3,0,0,1,0,SDP
SDP,SS,Ha-Seong Kim,28,105,412,354,54,81,13,3,10,43,19,4,51,68,.229,.327,.367,.694,97,130,7,2,2,3,4,SDP
SDP,3B,Manny Machado,31,99,412,381,48,100,17,0,14,56,5,1,29,85,.262,.316,.417,.733,106,159,19,1,0,1,5,SDP
SDP,LF,Jurickson Profar#,31,105,431,372,59,113,17,0,18,66,5,2,49,63,.304,.392,.495,.886,150,184,11,6,2,2,2,SDP
SDP,CF,Jackson Merrill*,21,103,385,362,46,103,15,3,12,52,11,2,17,72,.285,.316,.442,.758,113,160,2,1,2,3,1,SDP
SDP,RF,Fernando Tatis Jr. ,25,80,345,308,50,86,14,1,14,36,8,3,30,71,.279,.354,.468,.821,131,144,6,6,0,1,0,SDP
SDP,DH,Donovan Solano,36,54,191,174,20,52,9,0,3,19,1,1,13,36,.299,.356,.402,.758,116,70,5,3,0,1,0,SDP
SDP,1B,Luis Arráez*,27,67,301,288,31,90,11,1,3,23,4,3,9,13,.313,.339,.389,.728,107,112,10,3,0,1,1,SDP
SDP,C,Kyle Higashioka,34,47,149,141,18,32,5,1,12,32,0,0,8,45,.227,.268,.532,.800,120,75,2,0,0,0,0,SDP
SDP,3B,Tyler Wade*,29,64,117,102,19,24,2,0,0,7,7,1,10,23,.235,.310,.255,.565,63,26,0,1,3,0,0,SDP
SDP,RF,David Peralta*,36,46,117,107,12,25,4,0,2,10,1,0,8,25,.234,.299,.327,.626,78,35,3,2,0,0,0,SDP
SDP,OF,José Azocar ,28,61,79,73,13,16,2,0,0,2,5,1,5,19,.219,.269,.247,.516,48,18,1,0,1,0,0,SDP
SDP,3B,Eguy Rosario ,24,30,57,53,5,13,6,0,3,6,0,0,2,20,.245,.286,.528,.814,125,28,1,1,1,0,0,SDP
SDP,RF,Bryce Johnson#,28,22,46,39,3,5,1,0,0,1,1,0,4,9,.128,.209,.154,.363,6,6,1,0,3,0,0,SDP
SDP,DH,Graham Pauley* ,23,13,32,32,4,4,0,0,2,5,0,0,0,15,.125,.125,.313,.438,19,10,1,0,0,0,0,SDP
SDP,UT,Brett Sullivan* ,30,7,17,16,1,3,0,0,1,2,0,0,1,4,.188,.235,.375,.610,70,6,0,0,0,0,0,SDP
SDP,1B,Matthew Batten ,29,1,3,3,0,1,0,1,0,0,0,0,0,0,.333,.333,1.000,1.333,259,3,0,0,0,0,0,SDP
