Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
SDP,SP,Dylan Cease,28,10,8,.556,3.50,22,22,0,1,1,0,131.0,89,54,51,15,40,0,168,2,0,7,517,116,3.03,0.985,6.1,1.0,2.7,11.5,4.20,SDP
SDP,SP,Michael King,29,9,6,.600,3.26,22,21,0,0,0,0,124.1,99,51,45,14,45,1,144,3,0,1,514,125,3.45,1.158,7.2,1.0,3.3,10.4,3.20,SDP
SDP,SP,Matt Waldron,27,6,9,.400,3.64,21,21,0,0,0,0,118.2,104,51,48,13,33,0,103,5,1,3,488,112,3.80,1.154,7.9,1.0,2.5,7.8,3.12,SDP
SDP,SP,Randy Vásquez,25,3,5,.375,4.17,14,14,0,0,0,0,69.0,88,35,32,11,15,0,44,2,1,4,297,98,4.68,1.493,11.5,1.4,2.0,5.7,2.93,SDP
SDP,SP,Yu Darvish,37,4,3,.571,3.20,11,11,0,0,0,0,56.1,45,22,20,6,15,0,53,1,0,1,229,128,3.50,1.065,7.2,1.0,2.4,8.5,3.53,SDP
SDP,SP,Joe Musgrove ,31,3,4,.429,5.66,10,10,0,0,0,0,49.1,58,32,31,10,15,0,44,7,0,0,214,72,5.34,1.480,10.6,1.8,2.7,8.0,2.93,SDP
SDP,CL,Robert Suarez,33,5,1,.833,1.51,41,0,38,0,0,23,41.2,28,8,7,4,8,0,40,0,0,1,158,270,3.05,0.864,6.0,0.9,1.7,8.6,5.00,SDP
SDP,RP,Stephen Kolek,27,3,0,1.000,5.32,41,0,12,0,0,0,45.2,59,30,27,4,10,0,39,3,0,2,206,77,3.43,1.511,11.6,0.8,2.0,7.7,3.90,SDP
SDP,RP,Yuki Matsui*,28,3,2,.600,3.45,47,0,8,0,0,0,44.1,32,18,17,2,23,3,44,0,0,6,184,118,3.30,1.241,6.5,0.4,4.7,8.9,1.91,SDP
SDP,RP,Enyel De Los Santos,28,1,2,.333,4.70,43,0,13,0,0,1,38.1,37,21,20,11,12,1,44,1,0,2,161,87,5.60,1.278,8.7,2.6,2.8,10.3,3.67,SDP
SDP,RP,Wandy Peralta* ,32,2,2,.500,4.50,41,0,8,0,0,0,34.0,32,19,17,6,12,0,20,4,0,2,147,91,5.68,1.294,8.5,1.6,3.2,5.3,1.67,SDP
