Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
SEA,C,Cal Raleigh#,27,100,392,343,43,73,10,0,21,63,5,0,41,121,.213,.301,.426,.727,110,146,4,4,0,4,3,SEA
SEA,1B,Ty France ,29,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,94,105,11,11,0,1,0,SEA
SEA,2B,Jorge Polanco#,30,69,273,244,24,51,5,0,9,24,2,2,26,84,.209,.293,.340,.633,85,83,8,3,0,0,1,SEA
SEA,SS,J.P. Crawford* ,29,77,335,294,42,60,13,1,9,32,5,0,38,76,.204,.299,.347,.645,89,102,1,2,0,1,0,SEA
SEA,3B,Josh Rojas*,30,93,329,293,35,69,16,2,5,20,6,4,33,69,.235,.315,.355,.670,97,104,4,1,0,0,1,SEA
SEA,LF,Luke Raley*,29,91,293,271,35,62,11,2,11,29,7,2,10,92,.229,.284,.406,.690,100,110,2,11,1,0,0,SEA
SEA,CF,Julio Rodríguez ,23,100,413,384,45,101,9,0,11,37,18,4,24,112,.263,.315,.372,.687,101,143,3,5,0,0,0,SEA
SEA,RF,Mitch Haniger,33,88,317,282,31,58,11,0,9,35,0,0,33,90,.206,.290,.340,.631,85,96,7,1,0,1,0,SEA
SEA,DH,Mitch Garver,33,86,335,283,32,50,14,0,12,38,0,0,44,103,.177,.296,.353,.649,90,100,7,5,0,3,0,SEA
SEA,MI,Dylan Moore,31,86,298,253,32,52,14,4,9,30,17,3,31,83,.206,.310,.399,.709,106,101,6,9,1,4,0,SEA
SEA,RF,Dominic Canzone* ,26,54,159,142,18,30,5,0,7,14,1,0,16,44,.211,.289,.394,.684,98,56,3,0,0,1,2,SEA
SEA,3B,Luis Urías,27,34,91,79,8,12,4,0,3,12,0,0,7,31,.152,.264,.316,.580,70,25,2,5,0,0,0,SEA
SEA,OF,Víctor Robles,27,30,71,61,6,23,5,0,2,5,8,0,6,12,.377,.449,.557,1.007,194,34,1,2,2,0,0,SEA
SEA,2B,Ryan Bliss ,24,31,67,59,8,13,3,1,1,7,5,3,5,21,.220,.292,.356,.648,89,21,1,1,2,0,0,SEA
SEA,1B,Tyler Locklear,23,14,45,42,3,7,1,0,2,3,1,0,2,18,.167,.222,.333,.556,60,14,3,1,0,0,0,SEA
SEA,LF,Jonatan Clase#,22,19,43,41,4,8,1,0,0,3,3,0,2,14,.195,.233,.220,.452,34,9,1,0,0,0,0,SEA
SEA,C,Seby Zavala,30,18,43,39,4,6,2,0,1,2,0,0,3,16,.154,.214,.282,.496,44,11,2,0,1,0,0,SEA
SEA,DH,Jason Vosler*,30,4,18,17,2,4,1,1,0,2,0,0,1,3,.235,.278,.412,.690,99,7,0,0,0,0,0,SEA
SEA,OF,Sam Haggerty# ,30,8,16,15,1,1,0,0,0,1,1,0,1,4,.067,.125,.067,.192,-41,1,0,0,0,0,0,SEA
SEA,MI,Leo Rivas#,26,7,6,6,2,2,0,1,0,0,0,0,0,3,.333,.333,.667,1.000,183,4,0,0,0,0,0,SEA
SEA,OF,Samad Taylor ,25,3,5,5,2,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,136,2,0,0,0,0,0,SEA
SEA,LF,Randy Arozarena,29,1,5,4,1,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,98,1,0,0,0,0,0,SEA
SEA,OF,Cade Marlowe*,27,2,4,3,0,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,152,1,1,0,0,0,0,SEA
SEA,P,Luis Castillo,31,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,SEA
