Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
SEA,SP,Logan Gilbert,27,6,6,.500,2.72,21,21,0,0,0,0,139.0,94,47,42,15,26,1,132,3,0,5,527,139,3.28,0.863,6.1,1.0,1.7,8.5,5.08,SEA
SEA,SP,George Kirby,26,8,7,.533,3.03,22,22,0,0,0,0,130.2,114,46,44,11,14,0,129,4,1,3,520,124,2.68,0.980,7.9,0.8,1.0,8.9,9.21,SEA
SEA,SP,Luis Castillo,31,8,10,.444,3.38,22,22,0,0,0,0,130.1,114,51,49,15,37,2,126,3,0,0,531,111,3.63,1.159,7.9,1.0,2.6,8.7,3.41,SEA
SEA,SP,Bryce Miller,25,7,7,.500,3.41,20,20,0,0,0,0,116.0,90,47,44,15,29,0,103,2,0,2,458,110,3.85,1.026,7.0,1.2,2.3,8.0,3.55,SEA
SEA,SP,Bryan Woo,24,4,1,.800,2.35,11,11,0,0,0,0,53.2,42,15,14,4,6,0,37,2,0,0,208,161,3.18,0.894,7.0,0.7,1.0,6.2,6.17,SEA
SEA,SP,Emerson Hancock ,25,3,4,.429,4.76,9,9,0,0,0,0,45.1,46,29,24,8,14,0,28,4,0,0,198,80,5.40,1.324,9.1,1.6,2.8,5.6,2.00,SEA
SEA,CL,Andrés Muñoz,25,2,3,.400,1.31,41,0,27,0,0,17,41.1,22,8,6,2,18,2,51,2,1,3,161,290,2.76,0.968,4.8,0.4,3.9,11.1,2.83,SEA
SEA,RP,Trent Thornton,30,3,2,.600,3.86,46,0,9,0,0,1,46.2,35,22,20,5,14,1,49,4,0,3,185,98,3.60,1.050,6.8,1.0,2.7,9.5,3.50,SEA
SEA,RP,Austin Voth,32,2,4,.333,3.40,46,0,14,0,0,0,42.1,27,21,16,7,10,0,40,3,0,0,166,112,4.33,0.874,5.7,1.5,2.1,8.5,4.00,SEA
SEA,RP,Ryne Stanek,32,6,3,.667,4.38,46,0,12,0,0,7,39.0,35,21,19,5,17,2,44,2,0,1,172,87,4.02,1.333,8.1,1.2,3.9,10.2,2.59,SEA
SEA,RP,Tayler Saucedo*,31,2,0,1.000,2.03,34,0,9,0,0,3,26.2,22,6,6,1,12,3,31,1,0,1,112,188,2.77,1.275,7.4,0.3,4.1,10.5,2.58,SEA
