Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
SFG,C,Patrick Bailey#,25,78,297,260,34,71,12,1,7,35,3,0,31,63,.273,.345,.408,.752,118,106,6,0,1,5,0,SFG
SFG,1B,LaMonte Wade Jr.*,30,71,238,190,31,56,10,0,3,19,1,1,42,53,.295,.424,.395,.819,141,75,2,3,0,3,3,SFG
SFG,2B,Thairo Estrada ,28,87,346,329,41,71,14,2,9,43,1,2,10,67,.216,.249,.353,.601,72,116,8,5,0,2,0,SFG
SFG,SS,Nick Ahmed,34,52,172,155,13,36,6,1,1,15,1,1,10,35,.232,.278,.303,.581,69,47,6,1,3,3,0,SFG
SFG,3B,Matt Chapman,31,104,447,392,72,93,27,0,15,46,11,1,50,107,.237,.329,.421,.750,116,165,8,4,0,1,2,SFG
SFG,LF,Michael Conforto*,31,82,307,277,29,61,17,2,10,40,0,1,27,75,.220,.293,.404,.697,100,112,6,2,0,1,1,SFG
SFG,CF,Heliot Ramos,24,70,306,277,30,81,13,1,15,53,2,0,26,81,.292,.353,.509,.862,147,141,6,1,0,2,2,SFG
SFG,RF,Mike Yastrzemski*,33,88,283,253,33,63,9,8,8,35,2,0,24,77,.249,.323,.443,.765,120,112,3,4,1,1,1,SFG
SFG,DH,Jorge Soler,32,92,387,336,56,79,22,1,12,39,1,0,44,95,.235,.326,.414,.740,114,139,9,3,0,3,0,SFG
SFG,1B,Wilmer Flores ,32,71,242,214,19,44,12,0,4,26,0,0,20,33,.206,.277,.318,.595,73,68,5,3,0,5,1,SFG
SFG,MI,Brett Wisely*,25,54,184,173,16,46,11,1,3,19,2,3,8,45,.266,.301,.393,.694,100,68,2,1,1,1,0,SFG
SFG,CF,Jung Hoo Lee* ,25,37,158,145,15,38,4,0,2,8,2,3,10,13,.262,.310,.331,.641,87,48,2,1,0,2,0,SFG
SFG,OF,Luis Matos ,22,40,143,138,12,30,4,0,4,24,0,0,4,18,.217,.238,.333,.571,64,46,5,0,0,1,1,SFG
SFG,UT,Tyler Fitzgerald,26,44,123,111,25,36,6,2,9,19,7,2,11,36,.324,.390,.658,1.048,198,73,1,1,0,0,0,SFG
SFG,RF,Austin Slater,31,43,112,90,12,18,1,0,1,9,2,1,16,31,.200,.330,.244,.575,71,22,3,3,0,3,0,SFG
SFG,C,Curt Casali,35,20,69,58,7,12,2,0,0,4,0,0,9,11,.207,.324,.241,.565,68,14,2,1,1,0,0,SFG
SFG,IF,Casey Schmitt,25,13,44,42,6,10,1,1,2,6,0,0,0,8,.238,.250,.452,.702,99,19,1,1,0,1,0,SFG
SFG,C,Blake Sabol* ,26,11,38,32,3,10,2,0,0,1,0,0,5,9,.313,.421,.375,.796,135,12,0,1,0,0,1,SFG
SFG,C,Tom Murphy ,33,13,38,34,3,4,1,0,1,2,0,0,4,14,.118,.211,.235,.446,30,8,0,0,0,0,0,SFG
SFG,1B,David Villar,27,9,30,29,3,8,3,0,1,4,0,0,0,11,.276,.267,.483,.749,112,14,0,0,0,1,0,SFG
SFG,1B,Trenton Brooks*,28,12,29,25,3,3,0,0,0,1,1,0,4,6,.120,.241,.120,.361,10,3,1,0,0,0,0,SFG
SFG,SS,Marco Luciano ,22,10,27,24,6,9,2,1,0,1,0,0,3,5,.375,.444,.542,.986,185,13,1,0,0,0,0,SFG
SFG,C,Jakson Reetz,28,5,12,12,1,1,0,0,1,1,0,0,0,4,.083,.083,.333,.417,14,4,1,0,0,0,0,SFG
SFG,OF,Ryan McKenna,27,4,6,6,1,0,0,0,0,0,1,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,SFG
SFG,LF,Derek Hill,28,3,6,6,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-2,1,0,0,0,0,0,SFG
