Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
SFG,SP,Logan Webb,27,7,8,.467,3.72,22,22,0,0,0,0,135.1,143,59,56,7,35,3,115,2,0,2,563,104,2.94,1.315,9.5,0.5,2.3,7.6,3.29,SFG
SFG,SP,Jordan Hicks,27,4,7,.364,4.01,20,20,0,0,0,0,98.2,96,48,44,11,41,0,90,9,2,7,428,96,4.29,1.389,8.8,1.0,3.7,8.2,2.20,SFG
SFG,SP,Kyle Harrison*,22,6,4,.600,3.69,18,18,0,0,0,0,97.2,92,42,40,10,33,0,90,7,1,2,412,105,3.86,1.280,8.5,0.9,3.0,8.3,2.73,SFG
SFG,SP,Keaton Winn ,26,3,8,.273,7.16,12,12,0,0,0,0,55.1,56,44,44,9,20,0,48,4,0,1,238,54,4.83,1.373,9.1,1.5,3.3,7.8,2.40,SFG
SFG,SP,Blake Snell*,31,0,3,.000,5.10,10,10,0,0,0,0,47.2,40,28,27,5,21,0,61,1,0,7,203,76,3.34,1.280,7.6,0.9,4.0,11.5,2.90,SFG
SFG,CL,Camilo Doval,26,3,1,.750,4.28,42,0,33,0,0,19,40.0,38,21,19,3,26,1,52,1,0,4,184,91,3.55,1.600,8.6,0.7,5.9,11.7,2.00,SFG
SFG,RP,Ryan Walker,28,7,3,.700,2.43,54,1,8,0,0,0,55.2,39,16,15,4,13,1,65,6,0,1,216,160,2.77,0.934,6.3,0.6,2.1,10.5,5.00,SFG
SFG,RP,Tyler Rogers,33,1,4,.200,3.26,54,0,11,0,0,1,49.2,53,18,18,6,3,1,35,5,0,0,206,119,3.79,1.128,9.6,1.1,0.5,6.3,11.67,SFG
SFG,RP,Erik Miller*,26,3,3,.500,3.47,48,9,7,0,0,0,46.2,33,21,18,6,23,0,55,1,0,0,190,112,4.00,1.200,6.4,1.2,4.4,10.6,2.39,SFG
SFG,RP,Taylor Rogers*,33,1,3,.250,2.21,43,0,11,0,0,0,40.2,37,13,10,4,13,0,43,2,0,0,167,175,3.42,1.230,8.2,0.9,2.9,9.5,3.31,SFG
