Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
STL,C,Iván Herrera ,24,54,192,172,24,48,6,1,3,19,4,0,15,41,.279,.340,.378,.718,102,65,2,2,0,2,0,STL
STL,1B,Paul Goldschmidt,36,100,436,401,49,91,16,0,15,40,6,0,31,125,.227,.286,.379,.665,85,152,11,2,0,0,1,STL
STL,2B,Nolan Gorman*,24,95,363,328,41,67,13,0,19,50,6,1,32,138,.204,.275,.418,.693,91,137,2,1,0,2,1,STL
STL,SS,Masyn Winn,22,96,389,355,47,101,18,4,6,36,9,3,28,70,.285,.333,.408,.742,107,145,0,0,2,4,1,STL
STL,3B,Nolan Arenado,33,98,411,372,41,98,14,0,11,45,1,1,29,60,.263,.320,.390,.709,98,145,7,4,0,5,0,STL
STL,LF,Brendan Donovan*,27,99,431,388,44,103,22,1,9,48,3,3,30,55,.265,.332,.397,.729,104,154,2,10,0,3,0,STL
STL,CF,Michael Siani*,24,94,235,213,32,51,6,2,2,14,13,3,10,62,.239,.279,.315,.593,67,67,2,2,9,1,0,STL
STL,RF,Lars Nootbaar*,26,54,221,194,18,46,9,1,7,21,4,0,26,46,.237,.327,.402,.729,104,78,5,0,1,0,1,STL
STL,DH,Alec Burleson*,25,97,378,352,45,101,14,0,18,60,7,3,15,48,.287,.317,.480,.797,120,169,5,3,1,5,0,STL
STL,C,Willson Contreras,32,59,250,208,36,57,13,0,12,28,3,1,36,69,.274,.396,.510,.906,152,106,5,6,0,0,1,STL
STL,OF,Dylan Carlson#,25,59,138,121,12,24,5,0,0,11,0,1,12,37,.198,.275,.240,.515,47,29,2,2,0,3,0,STL
STL,DH,Matt Carpenter*,38,38,116,103,10,26,4,0,2,9,0,1,9,35,.252,.322,.350,.671,89,36,0,2,0,1,0,STL
STL,C,Pedro Pagés,25,37,115,103,12,24,2,1,2,14,1,0,9,26,.233,.289,.330,.620,74,34,4,0,1,2,0,STL
STL,IF,Brandon Crawford*,37,24,71,62,5,10,4,0,1,3,0,0,8,21,.161,.268,.274,.542,53,17,0,1,0,0,0,STL
STL,RF,Jordan Walker ,22,20,67,58,4,9,4,1,0,4,0,0,6,18,.155,.239,.259,.497,40,15,2,1,0,2,0,STL
STL,CF,Victor Scott II* ,23,21,65,59,6,5,3,0,0,2,2,0,2,15,.085,.138,.136,.274,-22,8,0,2,0,2,0,STL
STL,DH,José Fermín ,25,30,51,46,3,6,0,1,0,0,1,1,4,6,.130,.216,.174,.390,12,8,2,1,0,0,0,STL
