Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,Miles Mikolas,35,7,8,.467,5.13,20,20,0,0,0,0,112.1,119,65,64,17,18,0,77,3,0,0,464,81,4.32,1.220,9.5,1.4,1.4,6.2,4.28
SP,Kyle Gibson,36,7,3,.700,4.16,18,18,0,0,0,0,101.2,97,51,47,13,41,0,96,2,0,4,430,100,4.21,1.357,8.6,1.2,3.6,8.5,2.34
SP,Sonny Gray,34,9,6,.600,3.34,17,17,0,0,0,0,99.2,81,45,37,8,24,0,121,2,1,6,399,125,2.56,1.054,7.3,0.7,2.2,10.9,5.04
SP,Lance Lynn,37,5,4,.556,4.39,19,19,0,0,0,0,96.1,97,61,47,14,37,0,92,4,0,2,426,95,4.42,1.391,9.1,1.3,3.5,8.6,2.49
SP,Steven Matz* ,33,1,2,.333,6.18,6,6,0,0,0,0,27.2,37,22,19,3,11,0,17,2,0,1,127,68,4.75,1.735,12.0,1.0,3.6,5.5,1.55
CL,Ryan Helsley,29,3,3,.500,2.36,41,0,39,0,0,32,42.0,32,14,11,2,17,2,48,0,0,1,173,178,2.71,1.167,6.9,0.4,3.6,10.3,2.82
RP,Matthew Liberatore,24,2,2,.500,4.15,33,5,5,0,0,0,52.0,46,25,24,6,17,1,41,0,0,3,209,101,4.07,1.212,8.0,1.0,2.9,7.1,2.41
RP,Andrew Kittredge,34,1,4,.200,3.53,45,0,4,0,0,1,43.1,39,21,17,8,13,0,43,0,0,0,179,119,4.48,1.200,8.1,1.7,2.7,8.9,3.31
RP,Ryan Fernandez,26,0,2,.000,2.08,36,0,9,0,0,1,43.1,33,13,10,2,17,2,43,2,0,0,177,202,3.09,1.154,6.9,0.4,3.5,8.9,2.53
RP,JoJo Romero,27,4,1,.800,2.43,43,0,4,0,0,0,40.2,33,12,11,4,9,0,34,3,0,0,162,172,3.65,1.033,7.3,0.9,2.0,7.5,3.78
