Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
TBR,C,Ben Rortvedt*,26,73,216,187,24,49,10,0,3,26,1,0,27,55,.262,.361,.364,.725,110,68,5,2,0,0,0,TBR
TBR,1B,Yandy Díaz,32,96,425,390,36,106,21,1,9,47,0,0,31,62,.272,.327,.400,.727,108,156,9,2,0,2,0,TBR
TBR,2B,Brandon Lowe*,29,57,216,187,29,48,10,2,12,34,1,0,24,53,.257,.352,.524,.876,148,98,7,4,0,1,1,TBR
TBR,SS,José Caballero,27,87,317,288,40,68,13,1,7,27,25,11,19,88,.236,.296,.361,.657,89,104,5,6,3,1,0,TBR
TBR,3B,Isaac Paredes,25,100,425,361,41,89,19,1,16,55,0,1,51,68,.247,.355,.438,.793,127,158,13,11,0,2,2,TBR
TBR,LF,Randy Arozarena,29,100,409,350,45,74,19,0,15,37,16,7,45,101,.211,.318,.394,.712,104,138,3,11,0,3,0,TBR
TBR,CF,Jose Siri,28,89,322,286,40,57,13,0,14,37,10,7,24,113,.199,.270,.392,.661,88,112,4,5,2,4,0,TBR
TBR,RF,Josh Lowe*,26,50,181,166,16,36,9,0,5,18,9,1,14,56,.217,.276,.361,.638,82,60,1,0,0,1,1,TBR
TBR,DH,Harold Ramírez,29,48,169,164,21,44,3,0,1,13,5,2,3,33,.268,.284,.305,.589,70,50,2,1,0,1,0,TBR
TBR,UT,Richie Palacios*,27,85,291,248,44,59,8,1,5,20,17,1,37,65,.238,.345,.339,.684,99,84,4,4,0,1,2,TBR
TBR,UT,Amed Rosario,28,75,271,260,22,81,17,3,2,26,9,4,7,46,.312,.336,.423,.759,117,110,9,3,0,1,0,TBR
TBR,OF,Jonny DeLuca,25,59,192,173,12,30,7,1,3,19,7,3,16,48,.173,.251,.277,.529,53,48,0,2,1,0,0,TBR
TBR,SS,Taylor Walls#,27,35,114,94,12,14,2,1,0,4,5,0,18,35,.149,.281,.191,.472,40,18,2,0,0,2,0,TBR
TBR,C,Alex Jackson,28,43,112,102,11,11,5,0,3,11,0,0,7,41,.108,.171,.245,.416,18,25,2,1,1,1,0,TBR
TBR,2B,Curtis Mead,23,31,109,101,9,26,3,0,1,6,2,0,5,24,.257,.306,.317,.622,80,32,2,2,0,0,0,TBR
TBR,IF,Jonathan Aranda* ,26,18,52,47,8,10,2,0,1,3,0,0,5,14,.213,.288,.319,.608,75,15,0,0,0,0,0,TBR
TBR,C,René Pinto ,27,19,49,42,5,9,3,0,2,6,0,0,4,18,.214,.292,.429,.720,104,18,0,1,1,1,0,TBR
TBR,1B,Austin Shenton* ,26,17,44,37,3,7,4,0,1,3,0,0,7,13,.189,.318,.378,.697,100,14,0,0,0,0,0,TBR
TBR,UT,Niko Goodrum#,32,9,18,16,1,3,0,0,0,0,0,1,1,6,.188,.235,.188,.423,24,3,0,0,1,0,0,TBR
