Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
TBR,SP,Zack Littell,28,4,7,.364,4.18,21,21,0,0,0,0,114.0,132,56,53,17,22,0,105,5,0,0,490,93,3.95,1.351,10.4,1.3,1.7,8.3,4.77,TBR
TBR,SP,Zach Eflin,30,5,7,.417,4.09,19,19,0,0,0,0,110.0,115,55,50,14,13,0,87,3,0,1,460,95,3.66,1.164,9.4,1.1,1.1,7.1,6.69,TBR
TBR,SP,Ryan Pepiot ,26,6,5,.545,3.92,17,17,0,0,0,0,87.1,63,38,38,11,31,0,94,4,0,4,352,99,3.83,1.076,6.5,1.1,3.2,9.7,3.03,TBR
TBR,SP,Aaron Civale,29,2,6,.250,5.07,17,17,0,0,0,0,87.0,93,51,49,16,27,0,84,4,0,1,378,77,4.68,1.379,9.6,1.7,2.8,8.7,3.11,TBR
TBR,SP,Taj Bradley,23,6,4,.600,2.43,14,14,0,0,0,0,81.1,55,25,22,10,27,0,97,1,0,1,323,160,3.39,1.008,6.1,1.1,3.0,10.7,3.59,TBR
TBR,CL,Pete Fairbanks,30,2,3,.400,3.19,37,0,29,0,0,19,36.2,28,15,13,2,16,2,34,0,1,2,150,123,3.31,1.200,6.9,0.5,3.9,8.3,2.13,TBR
TBR,RP,Jason Adam,32,4,2,.667,2.49,47,0,9,0,0,4,47.0,26,17,13,4,16,3,50,3,0,0,180,157,3.34,0.894,5.0,0.8,3.1,9.6,3.13,TBR
TBR,RP,Kevin Kelly,26,3,1,.750,4.26,45,0,10,0,0,1,44.1,46,24,21,7,5,1,41,4,0,1,183,92,3.96,1.150,9.3,1.4,1.0,8.3,8.20,TBR
TBR,RP,Garrett Cleavinger*,30,6,2,.750,3.29,46,0,8,0,0,3,41.0,32,16,15,3,22,0,52,6,0,1,179,119,3.61,1.317,7.0,0.7,4.8,11.4,2.36,TBR
TBR,RP,Phil Maton,31,1,2,.333,4.58,40,0,10,0,0,2,35.1,29,19,18,6,18,1,30,5,0,1,152,86,5.61,1.330,7.4,1.5,4.6,7.6,1.67,TBR
