Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Team Name
TEX,C,Jonah Heim#,29,90,345,321,33,75,9,0,9,42,1,1,21,65,.234,.281,.346,.627,78,111,8,1,0,2,0,TEX
TEX,1B,Nathaniel Lowe*,28,84,338,290,37,77,12,0,8,42,2,0,44,74,.266,.361,.390,.751,115,113,7,1,0,3,0,TEX
TEX,2B,Marcus Semien,33,103,464,418,70,103,18,2,15,53,3,2,44,62,.246,.319,.407,.726,106,170,4,1,0,1,1,TEX
TEX,SS,Corey Seager*,30,92,395,346,50,94,13,0,19,49,1,0,45,70,.272,.359,.474,.833,136,164,6,3,0,1,10,TEX
TEX,3B,Josh Smith*,26,98,373,319,46,90,20,1,10,43,6,1,35,75,.282,.380,.445,.825,135,142,5,16,2,1,1,TEX
TEX,LF,Wyatt Langford,22,81,335,303,34,74,15,4,5,43,9,2,28,68,.244,.310,.370,.680,94,112,5,2,0,2,3,TEX
TEX,CF,Leody Taveras#,25,100,359,325,37,74,11,3,7,26,12,4,30,71,.228,.292,.345,.637,81,112,5,0,3,1,0,TEX
TEX,RF,Adolis García,31,100,416,375,50,80,16,0,18,53,9,3,31,109,.213,.279,.400,.679,91,150,10,5,0,5,2,TEX
TEX,DH,Travis Jankowski*,33,69,150,140,14,29,3,0,1,10,7,1,7,30,.207,.260,.250,.510,47,35,3,3,0,0,0,TEX
TEX,UT,Ezequiel Duran ,25,58,187,176,14,45,6,0,2,13,1,1,9,43,.256,.294,.324,.618,77,57,4,1,0,1,0,TEX
TEX,LF,Evan Carter* ,21,45,162,144,23,27,6,2,5,15,2,0,15,43,.188,.272,.361,.633,79,52,1,2,0,1,0,TEX
TEX,C,Andrew Knizner,29,35,93,90,5,15,1,0,1,9,0,0,1,22,.167,.183,.211,.394,12,19,2,1,0,1,0,TEX
TEX,DH,Robbie Grossman#,34,32,91,77,13,20,2,0,3,10,1,0,13,16,.260,.363,.403,.765,119,31,4,0,0,1,0,TEX
TEX,1B,Jared Walsh*,30,17,60,53,9,12,2,0,1,7,0,0,7,21,.226,.317,.321,.637,83,17,2,0,0,0,0,TEX
TEX,3B,Davis Wendzel ,27,27,49,47,2,6,2,0,1,2,0,0,1,12,.128,.163,.234,.397,12,11,1,1,0,0,0,TEX
TEX,OF,Derek Hill,28,16,45,43,5,11,0,0,3,5,2,1,2,14,.256,.289,.465,.754,111,20,1,0,0,0,0,TEX
TEX,IF,Jonathan Ornelas,24,11,23,20,1,3,2,0,0,1,0,0,2,6,.150,.227,.250,.477,37,5,0,0,1,0,0,TEX
TEX,3B,Josh Jung ,26,4,19,17,5,7,1,1,2,6,1,0,2,4,.412,.474,.941,1.415,290,16,0,0,0,0,0,TEX
TEX,DH,Justin Foscue,25,7,19,19,1,2,1,0,0,1,0,0,0,7,.105,.105,.158,.263,-26,3,0,0,0,0,0,TEX
TEX,C,Sam Huff ,26,3,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-19,0,0,0,0,0,0,TEX
