Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
TEX,SP,Nathan Eovaldi,34,7,4,.636,3.31,18,18,0,0,0,0,106.0,84,39,39,14,26,0,104,5,0,3,423,120,3.78,1.038,7.1,1.2,2.2,8.8,4.00,TEX
TEX,SP,Andrew Heaney*,33,4,10,.286,3.77,21,20,0,0,0,0,105.0,102,50,44,14,30,0,105,5,0,2,452,105,3.88,1.257,8.7,1.2,2.6,9.0,3.50,TEX
TEX,SP,Michael Lorenzen,32,5,6,.455,3.87,18,18,0,0,0,0,97.2,79,42,42,15,48,0,74,5,0,3,404,103,5.26,1.300,7.3,1.4,4.4,6.8,1.54,TEX
TEX,SP,Jon Gray,32,5,4,.556,3.73,20,17,1,0,0,0,94.0,95,42,39,8,23,0,78,0,0,1,395,106,3.33,1.255,9.1,0.8,2.2,7.5,3.39,TEX
TEX,SP,Dane Dunning,29,4,7,.364,4.76,16,12,2,0,0,0,68.0,58,40,36,12,33,1,74,4,0,1,295,84,4.90,1.338,7.7,1.6,4.4,9.8,2.24,TEX
TEX,SP,Max Scherzer,39,2,3,.400,3.57,7,7,0,0,0,0,35.1,31,15,14,5,7,0,33,1,0,2,141,112,3.80,1.075,7.9,1.3,1.8,8.4,4.71,TEX
TEX,CL,Kirby Yates,37,3,1,.750,1.21,38,0,29,0,0,18,37.1,17,6,5,1,18,4,52,0,2,0,146,332,2.16,0.938,4.1,0.2,4.3,12.5,2.89,TEX
TEX,RP,José Ureña,32,3,5,.375,3.07,25,6,7,0,0,1,76.1,67,30,26,9,27,2,53,1,0,2,317,130,4.39,1.231,7.9,1.1,3.2,6.2,1.96,TEX
TEX,RP,José Leclerc,30,4,4,.500,3.77,40,0,9,0,0,1,45.1,26,19,19,5,24,0,61,3,1,3,187,106,3.68,1.103,5.2,1.0,4.8,12.1,2.54,TEX
TEX,RP,David Robertson,39,3,3,.500,3.02,41,0,4,0,0,2,44.2,28,16,15,4,13,2,66,3,0,3,178,132,2.43,0.918,5.6,0.8,2.6,13.3,5.08,TEX
TEX,RP,Jacob Latz*,28,2,3,.400,3.55,43,0,8,0,0,0,38.0,34,17,15,5,23,3,37,1,0,4,168,113,4.80,1.500,8.1,1.2,5.4,8.8,1.61,TEX
