Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG
TOR,C,Danny Jansen,29,61,228,198,27,42,13,0,6,18,0,0,25,42,.212,.303,.369
TOR,1B,Vladimir Guerrero Jr.,25,103,448,399,56,120,22,0,18,62,2,1,45,71,.301,.373,.491
TOR,2B,Isiah Kiner-Falefa ,29,82,281,257,32,75,8,2,7,33,3,1,13,37,.292,.338,.420
TOR,SS,Bo Bichette ,26,79,330,305,29,68,16,1,4,30,5,1,20,62,.223,.276,.321
TOR,3B,Ernie Clement,28,82,227,217,24,57,13,1,6,27,5,2,5,17,.263,.280,.415
TOR,LF,Davis Schneider,25,93,320,277,37,61,17,0,10,36,4,0,35,88,.220,.313,.390
TOR,CF,Kevin Kiermaier*,34,79,209,193,23,36,6,2,4,18,5,0,10,66,.187,.229,.301
TOR,RF,George Springer,34,97,402,357,50,81,15,1,13,40,12,0,40,72,.227,.307,.384
TOR,DH,Justin Turner,39,88,343,295,36,74,17,0,6,31,0,2,39,60,.251,.347,.369
TOR,OF,Daulton Varsho*,27,96,356,318,48,64,15,6,12,43,9,2,35,98,.201,.282,.399
TOR,C,Alejandro Kirk,25,56,202,175,12,40,9,0,2,25,0,0,19,28,.229,.297,.314
TOR,2B,Spencer Horwitz*,26,40,155,131,17,39,8,0,4,15,0,0,18,25,.298,.394,.450
TOR,2B,Cavan Biggio*,29,44,131,110,15,22,4,0,2,9,2,0,14,42,.200,.323,.291
TOR,DH,Daniel Vogelbach*,31,31,79,70,5,13,5,0,1,8,0,0,9,17,.186,.278,.300
TOR,UT,Addison Barger*,24,22,64,61,5,9,2,0,0,4,1,0,2,19,.148,.175,.180
TOR,MI,Leo Jimenez,23,16,48,42,4,11,3,0,0,2,0,0,3,13,.262,.354,.333
TOR,C,Brian Serven ,29,8,13,11,1,1,0,0,0,0,0,0,1,4,.091,.231,.091
TOR,OF,Steward Berroa#,25,9,9,8,2,1,1,0,0,0,2,1,1,1,.125,.222,.250
TOR,2B,Orelvis Martinez,22,1,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333
