Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
WSN,C,Keibert Ruiz#,25,77,292,276,26,60,9,0,8,33,1,1,9,33,.217,.250,.337,.587
WSN,1B,Joey Meneses ,32,76,313,281,19,65,11,0,3,42,2,0,21,63,.231,.291,.302,.593
WSN,2B,Luis García Jr.*,24,90,345,329,35,92,18,1,11,50,15,3,16,55,.280,.313,.441,.754
WSN,SS,CJ Abrams*,23,97,433,386,63,100,21,6,15,50,19,10,33,85,.259,.333,.461,.794
WSN,3B,Trey Lipscomb,24,53,188,170,19,37,3,0,1,10,11,2,14,35,.218,.283,.253,.536
WSN,LF,Jesse Winker*,30,101,379,315,51,81,18,0,11,45,14,4,53,84,.257,.374,.419,.793
WSN,CF,Jacob Young,24,94,330,294,53,73,14,1,1,22,24,5,20,67,.248,.315,.313,.628
WSN,RF,Lane Thomas,28,76,337,296,42,74,14,3,8,39,28,12,32,72,.250,.329,.399,.728
WSN,DH,Nick Senzel,29,64,235,206,25,43,10,0,7,18,1,3,27,53,.209,.303,.359,.663
WSN,OF,Eddie Rosario*,32,67,235,219,26,40,11,0,7,26,8,1,13,54,.183,.226,.329,.555
WSN,IF,Ildemaro Vargas#,32,67,208,184,17,48,14,0,1,22,6,3,16,21,.261,.319,.353,.672
WSN,1B,Joey Gallo* ,30,46,165,140,17,23,7,0,5,11,1,1,21,71,.164,.285,.321,.606
WSN,C,Riley Adams,28,33,109,97,7,22,5,0,2,8,1,0,8,33,.227,.294,.340,.634
WSN,LF,James Wood*,21,22,94,85,9,20,3,0,2,15,2,2,8,33,.235,.309,.341,.650
WSN,1B,Juan Yepez,26,18,77,69,13,26,10,0,2,13,1,0,6,12,.377,.429,.609,1.037
WSN,DH,Harold Ramírez,29,15,44,43,5,13,2,1,1,13,0,0,0,9,.302,.318,.465,.783
WSN,OF,Víctor Robles,27,14,33,25,3,3,0,0,0,2,4,1,5,9,.120,.281,.120,.401
WSN,C,Drew Millas# ,26,11,32,30,2,5,1,0,1,1,2,0,2,8,.167,.219,.300,.519
WSN,OF,Alex Call ,29,7,21,16,6,5,1,0,0,1,1,0,3,5,.313,.476,.375,.851
WSN,MI,Nasim Nuñez#,23,25,16,14,9,2,0,0,0,0,3,2,2,3,.143,.250,.143,.393
