Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG
WSN,SP,Jake Irvin,27,8,8,.500,3.44,22,22,0,0
WSN,SP,Patrick Corbin*,34,2,10,.167,5.26,21,21,0,0
WSN,SP,MacKenzie Gore*,25,6,8,.429,4.51,21,21,0,0
WSN,SP,Mitchell Parker*,24,5,6,.455,4.34,18,18,0,0
WSN,SP,Trevor Williams ,32,5,0,1.000,2.22,11,11,0,0
WSN,SP,DJ Herz*,23,1,4,.200,4.95,8,8,0,0
WSN,CL,Kyle Finnegan,32,2,4,.333,2.47,45,0,41,0
WSN,RP,Derek Law,33,6,2,.750,3.19,51,0,3,0
WSN,RP,Dylan Floro,33,3,2,.600,1.94,50,0,7,0
WSN,RP,Hunter Harvey,29,2,4,.333,4.20,43,0,2,0
WSN,RP,Robert Garcia*,28,2,3,.400,4.17,45,0,4,0
